,,,,Coverage,Quality,VoLTE,,,,,Data,,,,,,,
United States of America ,T-Mobile,310/26,9:15,-114,-15,2.62,1.88,0.51,14.7,476820,0.55,1.33,9.26,667092,1823,44793,2926,2302
United States of America ,Southern Communications dba Southern LINC,310/15,9:15,-81,-11,3.74,4.09,2.22,14.5,216802,2.54,4.07,3.53,103897,12864,5978,4010,906
Unted States,Verizon Wireless,311/48,9:15,-89,-6,4.36,0.39,11.84,10.1,254044,3.66,0.53,11.12,102844,45097,23300,2171,1359
India,Airtel (Kolkata),404/31,9:15,-84,-16,4.98,0.29,1.57,10.9,417320,1.17,3.29,1.48,557447,6467,29596,1584,1303
India,Airtel (Andhra Pradesh),404/49,9:15,-90,-13,0.17,0.58,6.61,18.8,222639,4.34,0.15,10.11,698794,26027,7096,4369,784
India,Airtel (Mumbai),404/92,9:15,-100,-10,2.35,0.79,8.06,9.3,538240,4.89,4.07,3.27,149652,12522,8730,4287,1986
India,Airtel (Kerala),404/95,9:15,-114,-12,0.83,0.75,9.94,14.2,718243,0.9,0.09,10.11,476352,2361,18837,3773,1685
India,AirTel (Chennai),404/03,9:15,-72,-12,3.16,5.25,9.73,15.9,927057,0.3,3.26,3.45,239360,28223,16510,2308,1640
India,Vodafone India (Mumbai) Hutchison Orange,404/20,9:15,-115,-12,3.35,3.71,5.96,19.7,876172,3.07,3.76,2.19,764194,22851,23321,57,2169
India,Airtel (Karnataka),404/45,9:15,-75,-13,5.1,4.25,1.23,7.2,978189,5.27,1.86,1.5,447042,45319,31638,2333,1320
India,Airtel (Maharashtra & Goa),404/90,9:15,-76,-15,4.5,1.27,5.24,1.7,872378,1.07,3.66,1.87,150499,31141,20372,2846,613
India,India(404),404/94,9:15,-83,-14,5.29,2.36,4.16,13.7,191396,3.56,2.86,2.6,755808,45195,48454,3886,1702
India,AirTel (Chennai),404/02,9:15,-116,-7,0.13,2.58,5.18,3.5,471573,5.13,4.11,6.64,913839,9193,38068,2325,1315
India,Airtel (Uttar Pradesh W),404/97,9:15,-105,-10,4.61,4.19,3.98,11.3,493514,2.2,4.05,5.96,213321,43086,16859,665,2604
India,Vodafone (New Delhi) Hutchision Essar,404/11,9:15,-87,-13,1.3,4.75,5.4,9.1,463854,1.85,3.57,4.72,461839,48058,27734,2530,2350
India,AirTel (Chennai),404/40,9:15,-85,-15,0.26,0.54,2.81,19,796497,2.79,2.53,11,894472,16204,30176,3923,1143
India,"Airtel (Rajasthan),Hexacom",404/70,9:15,-65,-7,3.1,3.77,4.73,2.3,119497,0.21,2.65,9.31,573943,24417,44933,3817,678
India,Airtel (Madhya Pradesh),404/93,9:15,-102,-15,0.79,4.87,1.08,16,514584,1.56,0.45,1.23,987482,21205,21655,3461,2076
India,Airtel (Haryana),404/96,9:15,-117,-11,5.03,0.61,9.01,13.9,538186,3.3,1.45,8.11,663079,4641,39463,706,2072
India,Airtel (Delhi),404/10,9:15,-108,-8,2.86,2.78,5.7,13.6,485131,5.06,0.92,2.52,519668,24861,34673,4163,2621
India(405),,405/52,9:15,-103,-11,5.15,0.15,5.34,18.1,765199,5.39,0.37,1.95,905573,30212,20768,1808,1361
India(405),"AirTel (Bharti-Televentures), Uttar Predesh East",405/54,9:15,-91,-8,4.97,1.02,0.29,8.5,131941,1.28,3.3,8.54,729463,29272,10564,3618,29
India(405),"AirTel (Bharti-Televentures), Orissa",405/53,9:15,-105,-16,2.8,1.44,1.35,6.1,197898,0.71,1.15,10.87,853739,18613,30727,2521,2773
Sri Lanka,Bharti Airtel,413/05,9:15,-96,-7,2.35,2.97,2.02,10.1,798703,0.52,1.44,5.06,653489,25745,25330,217,777
Sri Lanka,Dialog Axiata (ex MTN),413/02,9:15,-67,-10,0.15,4.8,4.03,2.9,178591,5.16,3.75,3.16,217290,45678,13566,588,2586
Myanmar,Telenor Myanmar (Comcel Myanmar),414/06,9:15,-111,-14,1.8,1.72,7.35,13.9,260380,0.31,4.34,10.02,409288,47379,30864,2425,710
Myanmar,Ooredoo Myanmar,414/05,9:15,-101,-10,3.03,4.02,1.4,13,915845,3.43,3.8,0.49,844748,12011,30006,1724,804
Myanmar,Myanmar Post and Telecommunication,414/01,9:15,-95,-9,3.48,1.56,11.63,0.9,409554,2.41,0.37,2.76,586480,17553,36907,1978,2460
Saudi Arabia,Mobily,420/03,9:15,-104,-11,2.96,4.2,0.37,13.3,762332,0.68,1.09,9.93,184717,38284,27968,3883,1481
Saudi Arabia,Saudi Telecom Company,420/01,9:15,-105,-11,5.07,0.77,7.54,7,630282,3.85,3.98,11.94,558876,40751,21294,824,1490
United Arab Emirates,Etisalat(UAE),424/02,9:15,-66,-8,3.55,4.22,4.83,13.7,746410,5.22,4.41,0.84,930649,46644,3173,3303,995
Bahrain,Batelco,426/01,9:15,-77,-9,2.9,0.26,7.03,8,726097,5.28,4.32,7.63,366883,14642,7728,4017,2491
Qatar,Q-Tel,427/01,9:15,-108,-7,4.46,4.83,7.03,15.4,271432,3.48,3.92,6.78,433539,3597,23769,4819,2636
Japan,NTT Docomo,440/10,9:15,-119,-8,3.24,0.12,8.07,6.5,394825,3.02,3.5,6.47,141638,40091,41203,4672,342
Japan,Soft Bank (Vodafone KK),440/20,9:15,-116,-15,4.8,3.91,9.59,3.8,858368,0.42,4.68,3.81,297610,37189,3154,772,134
South Korea,LGT Telcom,450/06,9:15,-91,-10,2.95,4.41,1.96,18.4,686366,3.36,1.82,5.37,819618,46417,48819,1674,2695
South Korea,SK Telecom,450/05,9:15,-109,-13,4.22,3.73,7.97,13.1,598722,5.01,0.78,1.46,895128,2590,2704,2039,1783
Vietnam,Viettel,452/04,9:15,-62,-16,4.24,4.31,2.69,9.7,927561,5.31,0.52,10.95,578654,36863,42086,1902,222
Vietnam,Vinaphone,452/02,9:15,-68,-7,1.88,3.04,5.82,1.8,327398,5.26,1.61,3.56,726070,10563,33535,2329,440
Vietnam,Vietnam Mobile Telecom (VMS),452/01,9:15,-83,-8,1,5.03,4.6,8.1,503547,3.33,0.95,4.44,707463,40617,33514,1324,519
Hongkong,CSL (C&W),454/00,9:15,-100,-13,0.84,0.37,8.16,6.6,926239,4.68,0.34,6.71,624350,46171,13707,3818,1185
Hongkong,PCCW-HKT Telephone Limited,454/19,9:15,-86,-11,4.11,1.41,6.68,10.8,861236,0.77,5.28,11.6,849555,17369,8338,1498,2591
Hongkong,China Mobile - Peoples,454/12,9:15,-120,-10,2.04,4.97,4.81,7.6,301168,2.37,2.64,10.12,603112,17934,12456,319,285
Hongkong,H3G(HONG KONG),454/03,9:15,-101,-9,4.39,5.36,7.32,17.8,686699,4.75,4.34,9.64,169904,49202,8365,4361,415
Macao,Hutchison 3,455/03,9:15,-111,-9,4.27,2.06,11.24,0.8,703642,2.05,3.17,9.97,165906,47583,43212,4468,183
Macao,CTM,455/01,9:15,-102,-15,0.3,0.83,2.05,18.4,978445,1.73,1.79,9.92,477069,39273,8106,4298,307
CAMBODIA,CamGSM Mobitel,456/01,9:15,-100,-14,5.4,2.12,4.81,14.7,289862,1.89,5.06,11.61,999097,12545,12814,4865,1479
CAMBODIA,Viettel,456/08,9:15,-62,-6,5.45,0.22,5.08,9.8,688516,5.32,0.22,1.31,860540,33444,20505,2120,1306
CAMBODIA,Latelz Co. Ltd,456/06,9:15,-105,-7,3.55,5.27,1.76,13,545256,2.19,1.08,11.39,547201,22260,13941,3192,1988
China,China Mobile,460/00,9:15,-108,-16,1.58,1.34,0.67,19.2,242567,2.39,0.95,1.89,516142,25535,6720,19,2401
China,China Mobile,460/07,9:15,-115,-16,0.14,0.45,9.78,0.9,303016,2.66,2.85,10.87,604215,4531,7286,679,205
China,China Mobile,460/02,9:15,-90,-8,1.91,2.89,10.86,11.4,880480,1.57,2.77,8.68,196049,41392,17990,3038,2581
China,China Unicom,460/01,9:15,-84,-7,1.41,4.49,9.27,3.1,736074,4.19,1.48,7.32,413123,24446,5552,1802,680
Taiwan,Taiwan Mobile (ex TCC),466/97,9:15,-115,-14,2.43,0.92,6.6,1.3,524054,4.54,3.94,12,356909,10385,18460,3904,402
Taiwan,Chunghwa Telecom,466/92,9:15,-91,-15,3.63,3.81,2.26,3.5,276269,2.4,2.7,9.22,567464,48056,22047,2740,2590
Taiwan,Fareastone,466/01,9:15,-79,-12,2.52,2.94,5.4,11.3,159366,0.11,5.3,7.33,962720,35096,17828,564,523
Malaysia,Maxis,502/12,9:15,-95,-10,1.47,5.42,2.82,14.7,579258,2.77,3.14,5.88,578459,14664,13289,1990,538
Malaysia,Celcom,502/19,9:15,-69,-14,3.39,0.87,11.82,9.2,314929,5.13,4.16,7.52,273342,34301,28824,4517,2890
Malaysia,U Mobile Sdn Bhd,502/18,9:15,-68,-8,2.15,1.66,1.26,12.4,941945,0.09,1.71,9.39,822485,42163,4609,3763,304
Malaysia,DiGi  Telecommunication,502/16,9:15,-76,-7,0.2,0.28,8.38,16.7,130959,2.06,1.96,2.15,921863,25114,48455,57,972
Australia,Optus,505/02,9:15,-106,-7,4.75,1.45,5.62,2.1,882092,1.22,4.96,9.18,812125,48241,36940,1152,2488
Australia,Telstra,505/01,9:15,-95,-13,5.26,3.11,5.04,4.2,470001,0.7,1.35,9.78,852606,33309,25960,3192,405
Indonesia,Telkomsel,510/10,9:15,-120,-11,4.92,3.26,9.67,19.8,219777,2.41,1.89,4.18,559812,38086,12826,775,2896
Indonesia,Hutchison,510/89,9:15,-111,-8,4.45,2.31,9.05,14.8,655339,3.42,1.8,3.95,119193,39213,22193,2562,443
Indonesia,Excelcom Indo,510/11,9:15,-111,-11,2.21,0.35,4.21,15.1,469167,4.77,3.71,6.39,593604,20371,7778,2680,1379
Philippines,Globetel,515/02,9:15,-65,-14,0.35,2.24,2.94,17.2,972993,3.13,1.65,4.18,667548,6182,39072,4380,385
Philippines,Digitel (Sun Cellular),515/05,9:15,-84,-16,2.68,2.22,5.75,18.8,246297,4.93,3.84,2.89,790507,35537,12682,423,1435
Thailand,Advanced Wireless Network Company Ltd.,520/03,9:15,-94,-6,4.92,4.86,0.96,7.2,229111,2,3.64,7.77,915867,14414,33532,3137,2558
Thailand,True Move  HSPA,520/00,9:15,-101,-15,5.22,5.41,2.27,7.2,235783,0.81,1.59,4.57,462736,36645,8306,1301,719
Thailand,Total Access (DTAC),520/05,9:15,-103,-12,5.17,1.73,4.44,15.4,517956,4.56,3.12,7.43,746066,44005,14557,4844,987
Singapore,Starhub,525/05,9:15,-97,-7,1.05,3.19,4.19,5.1,380647,1.69,4.54,6.55,582370,25436,25724,857,2725
Singapore,Mobile One,525/03,9:15,-60,-12,2.08,0.7,4.75,10.8,636163,2.65,4.92,3.21,560941,31694,33266,316,2860
Brunei,B-Mobile,528/02,9:15,-67,-7,3.53,2.92,7.64,10.4,443289,4.32,3.45,9.32,162492,5624,37959,1920,2992
Brunei,DST,528/11,9:15,-101,-7,4.33,2.06,3.57,11.9,602834,0.09,4.64,10.97,851642,19694,15911,1891,2674
New Zealand,Telecom New Zealand,530/05,9:15,-113,-6,2.6,4.34,8.29,12.2,977468,0.11,4.93,4.71,394304,20227,14693,2137,2533
New Zealand,Vodafone(NEW ZEALAND),530/01,9:15,-63,-15,2.96,1.92,0.97,5.1,865907,1.55,0.76,1.31,766428,24588,42506,2824,1439
New Zealand,Two Degrees (NZ Communications),530/24,9:15,-92,-15,1.78,1.21,1.42,12.7,931875,3.57,3.56,0.85,887020,36767,6832,960,962
Morocco,Itissalat Al Maghrib (Mobile GSM),604/01,9:15,-86,-16,1.56,2.46,9.23,18.1,813716,5.29,3.3,4.05,288182,45298,49821,2803,526
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Netherlands,Vodafone(NETHERLANDS),204/04,9:20,-118,-12,1.94,2.94,1.68,3.8,414100,3.99,4.61,11.89,127784,29188,19566,3420,1300
Netherlands,T-mobile (ex Ben),204/16,9:20,-64,-7,4.63,5.19,0.46,18.9,963203,4.82,1.94,7.13,832901,28757,2461,4226,1621
Netherlands,KPN (iBasis),204/08,9:20,-71,-14,2.52,3.66,11.87,6.2,200412,0.4,4.39,9.95,607313,42857,45157,3920,2888
Belgium,Belgacom Mobile,206/01,9:20,-115,-10,0.25,4.64,2.41,10.6,154594,1.7,2.57,2.9,775725,11470,9215,4319,359
France,Bouygues,208/20,9:20,-97,-15,4.22,3.85,2.85,14.3,407069,0.25,1.58,8.31,756716,30276,14477,1521,900
France,Free Mobile,208/15,9:20,-114,-11,2.75,1.06,3.43,2.9,984940,4.6,5.48,0.19,948791,40578,3010,109,2088
France,SFR (Cegetel),208/10,9:20,-80,-12,2.14,5.18,2.54,4.5,351157,0.96,1.77,4.53,525064,27691,18865,4835,730
Andorra,Mobiland/STA,213/03,9:20,-98,-11,4.06,4.64,0.56,15.7,812793,3.53,2.29,3.91,117202,36705,31745,2386,1506
Spain,Telefonica Moviles(SPAIN),214/07,9:20,-88,-11,0.19,3.96,8.16,17.4,466655,3.82,1.92,3.84,387144,13307,49766,75,2888
Spain,Vodafone (AirTel),214/01,9:20,-97,-13,0.82,3.02,2.99,13.9,320478,3.47,1.91,4,985786,6214,27421,1480,2767
Italy,TIM (Telecom Italia),222/01,9:20,-69,-8,3.27,4.15,7.79,5.4,185327,4.73,1.6,0.25,169820,45687,26766,4868,1895
Italy,H3G(ITALY),222/99,9:20,-93,-15,4.67,4.92,1.77,2.9,867991,1.33,3.39,8.31,424223,37214,12223,510,1695
Italy,Vodafone Omnitel,222/10,9:20,-110,-9,0.39,0.27,5.36,8.6,778297,0.18,1.2,10.13,886031,47362,25796,4373,963
Switzerland,Swisscom,228/01,9:20,-105,-10,3.37,0.49,0.8,18.5,703556,3.27,4.16,3.99,467600,38601,11385,2916,2786
Switzerland,Sunrise DiAx,228/02,9:20,-114,-16,2.49,2.08,8,5.7,246183,3.94,5.1,2.84,767345,17659,24795,1246,115
United Kingdom,Everything Everywhere,234/30,9:20,-62,-15,1.96,5.43,1.89,11.7,917707,2.51,4.85,6.14,297970,32576,46369,1242,275
United Kingdom,Telefonica O2 (CellNet),234/10,9:20,-81,-15,2.25,3.99,6.03,8.9,871352,2.28,0.06,8.71,629099,7829,40788,421,2238
United Kingdom,Jersey Telecom (JT-Wave),234/50,9:20,-84,-8,0.26,4.95,3.59,18.9,717908,1.19,3.17,1.47,553495,17436,9979,1251,1603
United Kingdom,Everything Everywhere (ex-Orange),234/33,9:20,-74,-12,4.35,5.02,11.57,15.2,215675,4.62,4.7,9.41,883307,3258,36258,2825,1449
Sweden,Tele2 - Comviq,240/07,9:20,-96,-15,0.06,4.6,5.6,5,636989,1.7,1.67,9.88,484746,22491,43776,2200,2635
Sweden,"Telenor (Vodafone,Europolitn)",240/08,9:20,-89,-11,5.29,2.23,6.09,9.7,559133,2.33,5.45,3.86,440096,42643,43967,4448,1074
Norway,NetCom TeliaSonera,242/02,9:20,-87,-12,1.65,2.81,4.05,1.7,326644,1.95,3.41,4.3,812911,48324,25319,1397,1511
Estonia,EMT,248/01,9:20,-99,-14,4.83,1.75,3.09,2.6,686588,3.97,5.19,9.91,843504,8797,31548,3039,1317
Russia,Vimpelcom Beeline (KB Impuls),250/99,9:20,-104,-9,1.28,3.37,0.29,9.3,250385,2.82,5,2.34,716790,20566,42974,1461,342
Poland,P4 Play,260/06,9:20,-91,-6,3.68,0.58,5.99,12,840757,0.71,3.82,4.91,787935,12310,33944,1853,801
Germany,E-Plus,262/03,9:20,-75,-9,1.35,4.52,1.39,8.6,329502,2.96,1.59,2.94,251405,8620,33412,2123,1440
Germany,Telekom Deutschland (T-Mobile),262/01,9:20,-94,-11,1.94,0.9,2.13,10.7,120650,0.94,2.74,9.22,724368,26679,8809,889,1881
Germany,Telefonica O2/viag,262/07,9:20,-66,-12,5.2,2.66,3.14,17.4,921776,2.24,1.81,4.4,182197,14388,2996,4175,1405
Portugal,TMN,268/06,9:20,-82,-16,1.75,4.32,8.59,18.4,161731,2.24,0.78,8.31,662710,7862,3805,979,2894
Turkey,AVEA (IS-TIM Aria),286/03,9:20,-66,-12,2.95,2.84,7.5,11.6,898237,2.92,4.94,4.56,713396,43382,43997,2914,1994
MACEDONIA,T-Mobile (Mobimak),294/01,9:20,-63,-14,1.37,2.61,9.65,4.1,788056,0.33,1.3,8.88,968952,31460,1691,487,2139
Canada,Rogers Wireless,302/61,9:20,-113,-9,1.97,4.96,4.13,9.2,126786,1.7,0.71,0.85,777223,12255,28210,893,1300
Canada,Rogers Wireless,302/22,9:20,-83,-6,0.94,2.61,10.65,18.5,111113,4.06,0.69,5.28,862725,39791,20892,2026,34
United States of America ,AT&T,310/41,9:20,-76,-12,1.78,2.14,7.36,14.4,229318,3.38,4.94,2.03,505956,47814,28654,4025,991
United States of America ,T-Mobile,310/26,9:20,-117,-8,4.33,1.74,10.94,6.7,410489,3.33,0.32,3.85,170739,29858,43096,3029,1059
United States of America ,Southern Communications dba Southern LINC,310/15,9:20,-76,-13,0.49,5.08,9.78,19.3,825114,1.7,4.9,9.75,548649,31440,23752,1960,2972
Unted States,Verizon Wireless,311/48,9:20,-79,-6,5.37,2.35,5.82,18.5,149770,0.91,0.28,7.07,296656,21326,33306,1362,1523
India,Airtel (Kolkata),404/31,9:20,-105,-7,3.8,0.75,5.95,7.9,961269,2.79,3.66,1.39,389390,40372,33536,2376,1801
India,Airtel (Andhra Pradesh),404/49,9:20,-85,-6,5.11,4.76,8.43,2.8,599304,0.14,3.57,1.86,953930,1578,4097,353,708
India,Airtel (Mumbai),404/92,9:20,-87,-13,5.21,3.48,9.76,15.2,627468,4.99,3.85,0.76,739922,33668,5069,84,115
India,Airtel (Kerala),404/95,9:20,-61,-16,1.04,5.37,4.37,4.4,807948,1.64,2.36,2.7,883866,1398,28014,4969,333
India,AirTel (Chennai),404/03,9:20,-114,-12,0.18,0.94,11.61,15.9,817316,1.91,2.34,5.25,589555,22745,49442,3696,756
India,Vodafone India (Mumbai) Hutchison Orange,404/20,9:20,-74,-8,2.24,3.48,9.88,11.2,304593,3.14,0.07,2.08,794947,43747,1888,533,113
India,Airtel (Karnataka),404/45,9:20,-102,-9,0.08,3.74,5.79,12.4,621930,3.63,1.66,11.03,884443,6816,47260,4581,1111
India,Airtel (Maharashtra & Goa),404/90,9:20,-78,-15,1.58,3.07,11.74,8.6,387573,4.42,0.4,8.62,568707,20967,8106,3606,617
India,India(404),404/94,9:20,-102,-15,3.21,0.83,11.57,16.7,306737,0.75,1.92,2.05,230873,3977,7531,2504,2567
India,AirTel (Chennai),404/02,9:20,-76,-6,4.9,4.9,4.19,2.7,107603,5.01,5.12,0.99,849518,5385,29659,163,1147
India,Airtel (Uttar Pradesh W),404/97,9:20,-73,-7,2.7,5.23,4.31,14.2,400728,5.16,3.49,2.63,411586,22227,4741,275,328
India,Vodafone (New Delhi) Hutchision Essar,404/11,9:20,-72,-15,1.88,4.9,10.19,5.3,421338,0.14,3.6,8.52,239188,24794,29097,1269,1243
India,AirTel (Chennai),404/40,9:20,-106,-8,0.64,2.77,11.42,1.9,514107,3.77,2.4,1.54,467953,48453,9018,1924,254
India,"Airtel (Rajasthan),Hexacom",404/70,9:20,-74,-8,1.67,5.19,2.59,17.5,184835,3.37,4.13,8.21,332414,44176,43359,924,1611
India,Airtel (Madhya Pradesh),404/93,9:20,-110,-8,4.32,1.13,0.41,14.7,160371,2.14,2.28,4.48,223921,23857,19793,4757,2570
India,Airtel (Haryana),404/96,9:20,-106,-9,1.4,3.47,2.65,3.7,382425,2.87,4.24,5.7,924819,21307,11430,3785,2491
India,Airtel (Delhi),404/10,9:20,-74,-15,0.6,2.87,10.26,3.9,525246,2.85,0.76,1.46,634534,39373,18948,3813,2588
India(405),,405/52,9:20,-116,-7,2.45,0.85,8.39,16.6,977592,1.13,2.84,6.19,384260,26293,31473,852,1821
India(405),"AirTel (Bharti-Televentures), Uttar Predesh East",405/54,9:20,-66,-6,2.95,4.99,7.9,4,259785,1.94,4.76,5.33,939738,4662,35685,4018,1871
India(405),"AirTel (Bharti-Televentures), Orissa",405/53,9:20,-108,-13,4.51,0.45,2.91,16.2,993291,2.54,4.54,1.6,697277,23147,36535,48,2833
Sri Lanka,Bharti Airtel,413/05,9:20,-113,-14,0.22,3.15,10.64,14,791493,4.3,0.59,3.41,680743,42274,3000,3427,187
Sri Lanka,Dialog Axiata (ex MTN),413/02,9:20,-103,-6,2.29,4.2,1.09,0.7,436875,4.45,2.91,11.77,379360,36461,32764,3699,1036
Myanmar,Telenor Myanmar (Comcel Myanmar),414/06,9:20,-66,-6,5.25,2.58,11.75,5.2,948161,5.12,5.32,11.35,371681,18928,40492,710,597
Myanmar,Ooredoo Myanmar,414/05,9:20,-71,-15,0.62,0.4,11.25,15.1,639286,2.23,5.06,1.49,475574,39075,13923,485,1643
Myanmar,Myanmar Post and Telecommunication,414/01,9:20,-78,-6,4.94,4.84,6.29,1.9,329958,0.61,2.9,3.86,894101,15991,24642,827,877
Saudi Arabia,Mobily,420/03,9:20,-75,-6,1.25,4.7,9.49,19.8,522457,2.16,2.26,5.08,308702,7992,33409,1481,1673
Saudi Arabia,Saudi Telecom Company,420/01,9:20,-102,-14,3.95,4.4,1.99,15.3,288358,1.23,3.24,0.88,780687,43826,22497,4029,1119
United Arab Emirates,Etisalat(UAE),424/02,9:20,-75,-9,5.18,4.83,0.42,11.5,319829,0.91,1.67,4.83,926336,42465,31640,3479,2583
Bahrain,Batelco,426/01,9:20,-68,-10,0.37,0.54,1.65,19.2,937887,3.17,0.81,3.13,295100,21038,3581,3221,2528
Qatar,Q-Tel,427/01,9:20,-102,-14,0.46,5.47,10.12,9.3,937046,1.73,1.5,5.68,480795,21914,16238,3527,1165
Japan,NTT Docomo,440/10,9:20,-111,-16,2.86,1.7,7.97,9.3,459206,1.52,3.74,2.78,219070,45698,39723,189,260
Japan,Soft Bank (Vodafone KK),440/20,9:20,-114,-10,1.39,2.03,8.51,1.5,646745,2.14,2.79,2.94,460713,28679,32500,2077,612
South Korea,LGT Telcom,450/06,9:20,-118,-10,1.05,0.37,4.36,1.8,669518,4.07,1.7,6.62,671253,13724,8791,3383,520
South Korea,SK Telecom,450/05,9:20,-88,-13,2.65,3.07,2.92,19.6,843190,4.08,0.82,3.57,984964,22225,14881,4202,2422
Vietnam,Viettel,452/04,9:20,-80,-10,4.76,2.45,11.65,13.4,668269,0.76,2.73,3.72,340969,37593,16343,1212,1438
Vietnam,Vinaphone,452/02,9:20,-101,-10,1.64,3.12,0.19,15.9,673356,5.06,5.33,2.42,273840,20503,13019,3040,2028
Vietnam,Vietnam Mobile Telecom (VMS),452/01,9:20,-116,-15,3.28,2.25,9.66,3.2,580397,1.17,0.59,0.81,928296,6795,39675,2271,31
Hongkong,CSL (C&W),454/00,9:20,-60,-12,0.78,0.72,10.72,9.8,376368,3.31,2.81,0.27,561138,2194,30835,4365,2641
Hongkong,PCCW-HKT Telephone Limited,454/19,9:20,-112,-10,0.23,3.78,11.63,2.9,109890,0.38,0.21,4.46,350407,37385,15700,585,910
Hongkong,China Mobile - Peoples,454/12,9:20,-118,-7,5.23,3.7,10.72,1.6,539571,3.94,3.87,1.94,973696,19484,43956,2619,510
Hongkong,H3G(HONG KONG),454/03,9:20,-96,-9,4.31,4.11,0.14,0.6,474642,3.9,1.71,0.47,593022,18857,22492,2382,1089
Macao,Hutchison 3,455/03,9:20,-65,-13,5.33,0.46,7.45,16.7,999526,3.13,4.77,9.98,281421,32808,39010,401,2200
Macao,CTM,455/01,9:20,-79,-9,2.48,5.08,11.37,0.7,985584,1.81,3.41,10.23,358250,28149,4750,3067,2632
CAMBODIA,CamGSM Mobitel,456/01,9:20,-86,-8,3.67,4.86,10.9,4.7,203906,3.99,1.35,2.22,277758,8915,33282,1159,1962
CAMBODIA,Viettel,456/08,9:20,-115,-9,0.7,0.16,2.25,6.8,486854,1.98,4.88,0.52,748673,49825,36603,1387,2580
CAMBODIA,Latelz Co. Ltd,456/06,9:20,-107,-7,3.46,3.32,10.95,6.4,876029,2.92,5.32,6.95,497057,11929,12765,2107,79
China,China Mobile,460/00,9:20,-120,-15,0.11,2.17,2.75,3.5,857419,5.46,0.18,7,811265,39806,47858,50,411
China,China Mobile,460/07,9:20,-79,-6,4.08,5,6.52,0.8,436647,1.3,3.94,6.89,767245,24759,37256,1825,138
China,China Mobile,460/02,9:20,-103,-12,3.63,0.74,5.18,16.4,543623,1.18,2.15,11.05,813674,24128,11732,462,219
China,China Unicom,460/01,9:20,-84,-13,0.85,5,10.02,18.3,239394,4.79,1.87,10.71,807591,47300,42144,2209,1831
Taiwan,Taiwan Mobile (ex TCC),466/97,9:20,-97,-15,3.43,2.52,4.01,19.1,867822,0.14,1.04,1.05,131621,12903,27227,3374,393
Taiwan,Chunghwa Telecom,466/92,9:20,-73,-10,2.75,1.19,4.6,13.8,313399,0.31,0.72,4.29,457151,18880,11158,3894,1673
Taiwan,Fareastone,466/01,9:20,-81,-16,1.51,3.83,5.57,6.8,439187,1.96,0.37,5.89,521142,18089,5473,3049,314
Malaysia,Maxis,502/12,9:20,-84,-11,4.51,3.79,1.99,1.1,472377,1.06,3.32,5.63,105615,8897,32676,1851,720
Malaysia,Celcom,502/19,9:20,-97,-6,0.21,0.49,2.89,9.7,364290,1.28,4.3,3.34,914868,2245,45913,458,464
Malaysia,U Mobile Sdn Bhd,502/18,9:20,-90,-7,3.27,3.31,3.18,9.9,761929,4.29,2.12,6.56,304880,21314,43632,3878,111
Malaysia,DiGi  Telecommunication,502/16,9:20,-97,-9,4.17,3.5,11.04,18.2,602492,5.47,0.37,10.36,501304,45306,46267,4338,2513
Australia,Optus,505/02,9:20,-64,-15,0.91,5.33,6.32,11.6,934219,4.29,1.89,5.77,832934,49040,10431,3939,2066
Australia,Telstra,505/01,9:20,-89,-16,1.94,0.08,10.09,8.1,447521,1.6,3.92,10.17,241970,8006,23643,4750,104
Indonesia,Telkomsel,510/10,9:20,-68,-8,2.6,3.87,3.08,11.9,814436,4.44,0.61,3.77,511849,17714,18914,3682,60
Indonesia,Hutchison,510/89,9:20,-92,-12,2.65,1.05,3.61,3.3,832527,0.59,5.5,3.98,685408,12782,43708,375,184
Indonesia,Excelcom Indo,510/11,9:20,-105,-12,1.94,4.14,11.44,3.5,840343,2.18,2.88,0.69,868879,14783,9536,4432,1363
Philippines,Globetel,515/02,9:20,-77,-13,0.06,1.04,10,19.6,108396,2.79,1.72,8.16,428317,37282,31217,4727,1564
Philippines,Digitel (Sun Cellular),515/05,9:20,-107,-8,4.17,2.05,3.92,18.7,310467,0.97,1.67,0.99,937727,5947,19052,3048,855
Thailand,Advanced Wireless Network Company Ltd.,520/03,9:20,-81,-8,0.83,2.28,7.53,19.1,447528,2.64,2.7,7.74,404928,38835,12003,2987,2190
Thailand,True Move  HSPA,520/00,9:20,-85,-7,5.26,3.44,2.59,14.5,384308,1.63,0.86,10.3,812700,41416,38252,1958,927
Thailand,Total Access (DTAC),520/05,9:20,-80,-16,2.02,2.62,2.66,9.2,481239,1.94,3.53,0.43,309393,30659,36240,523,1328
Singapore,Starhub,525/05,9:20,-84,-15,2.79,4.14,11.66,6.7,238431,4.82,4.13,9.05,543130,24607,19043,997,906
Singapore,Mobile One,525/03,9:20,-88,-13,4.09,0.7,5.82,10.9,364185,0.12,4.1,3.34,446665,25967,42107,46,1574
Brunei,B-Mobile,528/02,9:20,-99,-8,1.24,1.89,2.11,2.8,493573,0.46,3.04,10.54,873953,49313,12826,1920,666
Brunei,DST,528/11,9:20,-112,-16,3.37,1.35,10.53,12,791466,5.21,0.61,9,113748,34415,9111,2040,2459
New Zealand,Telecom New Zealand,530/05,9:20,-89,-11,4.55,4.64,8.34,1.3,453762,2.42,2.01,6.16,567070,14332,7709,4695,451
