Countries,States,Time,Coverage RSRP,Quality RSRQ,VoLTE Drop Call (%),VoLTE Block Call (%),VoLTE Setup Failure (%),VoLTE Setup Time (sec),VoLTE Holding Time (min),Data Drop Call (%),Data Block Call (%),Data Setup Failure (%),Data DL Volume (MB),Data UL Volume (MB),Data DL Throughput (KB),Data UL Throughput (KB)
Inyo,California,9:30,-78.61,-7.3,0.32,0.22,0.42,2.18,925190,0.06,0.35,0.07,5551968,9278,74508,362
Kern,California,9:30,-79.12,-7.25,0.33,0.29,0.2,4.12,729201,0.04,0.28,0.05,4014990,8367,74216,529
Kings,California,9:30,-78.11,-7.04,0.41,0.1,0.33,4.12,337324,0.05,0.54,0.07,8772364,1163,43515,811
Lake,California,9:30,-81.74,-6.63,0.56,0.5,0.35,3.7,365859,0.1,0.46,0.03,3590448,2221,49475,104
Lassen,California,9:30,-77.74,-6.8,0.49,0.29,0.4,4.4,962361,0.09,0.47,0.03,7208382,6809,69907,605
Los Angeles,California,9:30,-79.32,-7.32,0.14,0.36,0.43,3.41,820530,0.08,0.22,0.08,8654810,1354,46820,823
Madera,California,9:30,-76.62,-6.6,0.39,0.57,0.41,4.3,646274,0.02,0.52,0.04,3191633,7181,37827,457
Marin,California,9:30,-81.46,-6.59,0.19,0.14,0.33,2.12,237377,0.01,0.31,0.06,4042104,9876,34900,546
Mariposa,California,9:30,-77.27,-6.2,0.32,0.38,0.45,4.15,496082,0.01,0.44,0.06,3070405,4345,59209,801
Mendocino,California,9:30,-77.25,-7.11,0.58,0.46,0.17,3.19,956580,0.08,0.36,0.07,8282512,7266,43293,887
Merced,California,9:30,-80.05,-7.57,0.27,0.6,0.41,3.76,419892,0.03,0.44,0.08,3109552,2470,79758,309
Modoc,California,9:30,-77.05,-6.13,0.53,0.46,0.44,2.78,699750,0.01,0.2,0.06,6442919,5977,29507,581
Mono,California,9:30,-76.59,-7.91,0.27,0.27,0.45,2.73,445899,0.01,0.13,0.02,6647944,8125,12541,587
Monterey,California,9:30,-81.03,-6.37,0.3,0.28,0.42,2.47,475642,0.01,0.1,0.01,7717207,2924,73401,777
Napa,California,9:30,-76.62,-7.95,0.17,0.25,0.2,4.18,951092,0.06,0.2,0.04,8175640,9048,58358,660
Nevada,California,9:30,-80.43,-6.37,0.21,0.1,0.33,2.64,626212,0.09,0.32,0.04,8808408,3074,60144,555
Orange,California,9:30,-79.36,-6.2,0.21,0.12,0.45,2.51,475275,0.06,0.24,0.07,3464930,2968,44359,624
Placer,California,9:30,-77.97,-6.86,0.48,0.41,0.29,2.96,797112,0.05,0.38,0.07,5775580,6107,10989,428
Plumas,California,9:30,-77.24,-6.19,0.4,0.52,0.15,4.95,158623,0.08,0.29,0.04,3987965,1535,28839,134
Riverside,California,9:30,-76.84,-7.96,0.45,0.55,0.5,2.09,230244,0.09,0.32,0.02,7756556,7689,21439,542
Sacramento,California,9:30,-80.78,-7.76,0.31,0.51,0.44,4.87,108367,0.06,0.12,0.07,8585174,3259,10150,578
San Benito,California,9:30,-76.5,-7.49,0.42,0.23,0.37,4.98,725494,0.02,0.57,0.04,7065239,3971,23049,645
San Bernardino,California,9:30,-79.96,-6.47,0.37,0.35,0.49,3.94,714776,0.1,0.18,0.01,7429478,4726,61431,894
San Diego,California,9:30,-76.98,-7.11,0.27,0.37,0.42,2.24,975980,0.02,0.23,0.03,5842464,6532,54607,418
San Francisco,California,9:30,-79.36,-6.8,0.47,0.59,0.47,3.29,964415,0.03,0.57,0.08,5544594,7168,51961,718
San Joaquin,California,9:30,-76.05,-7.83,0.37,0.14,0.49,2.36,904759,0.02,0.34,0.09,4961555,1888,36088,350
San Luis Obispo,California,9:30,-79.76,-6.04,0.28,0.47,0.36,3.38,911762,0.02,0.47,0.09,3791631,2007,51723,445
San Mateo,California,9:30,-80.82,-6.24,0.6,0.32,0.28,4.16,701915,0.08,0.28,0.08,3118887,5962,43326,722
Santa Barbara,California,9:30,-80.83,-6.64,0.42,0.31,0.45,2.82,447401,0.08,0.32,0.08,8024626,6399,56948,630
Santa Clara,California,9:30,-76.7,-7.74,0.45,0.38,0.4,4.31,392417,0.03,0.6,0.08,6428793,7701,65353,891
Santa Cruz,California,9:30,-79.32,-6.07,0.13,0.29,0.1,4.72,519962,0.05,0.51,0.09,5870886,4472,60074,630
Shasta,California,9:30,-77.28,-7.49,0.33,0.25,0.14,2.91,442556,0.05,0.43,0.03,8667247,1405,66520,128
Sierra,California,9:30,-80.54,-7.25,0.28,0.51,0.36,4.8,326786,0.02,0.3,0.03,5075968,2372,46457,523
Siskiyou,California,9:30,-77.66,-6.32,0.28,0.58,0.48,2.56,841560,0.1,0.2,0.01,6351709,6887,36587,727
Solano,California,9:30,-77.87,-7.67,0.23,0.23,0.47,3.2,299247,0.06,0.39,0.03,4424665,7293,43162,207
Sonoma,California,9:30,-78.58,-6.96,0.49,0.59,0.33,4.34,272037,0.1,0.46,0.07,6883702,4119,76415,395
Stanislaus,California,9:30,-80.24,-6.29,0.54,0.14,0.46,4.6,947267,0.06,0.27,0.07,4714231,7075,16093,501
Sutter,California,9:30,-79.87,-6.06,0.58,0.49,0.4,3.65,236717,0.06,0.2,0.08,5131578,8643,41941,620
Tehama,California,9:30,-76.19,-6.81,0.28,0.1,0.45,2.65,762576,0.1,0.56,0.07,4614065,7942,22529,841
Trinity,California,9:30,-80.03,-6.27,0.37,0.58,0.38,2.81,685439,0.05,0.56,0.07,8139295,1835,14414,765
Tulare,California,9:30,-76.12,-6.42,0.33,0.13,0.24,4.06,350395,0.07,0.22,0.05,6606501,5592,57439,411
Tuolumne,California,9:30,-79.09,-6.03,0.56,0.53,0.13,2.53,944721,0.03,0.17,0.05,3661495,7989,45408,796
Ventura,California,9:30,-80.32,-7.94,0.45,0.17,0.36,3.02,378701,0.02,0.12,0.07,6475409,1713,49244,424
Yolo,California,9:30,-81.61,-6.5,0.17,0.48,0.36,4.67,338712,0.01,0.45,0.04,7961477,1998,11415,147
Yuba,California,9:30,-76.09,-6.81,0.16,0.11,0.5,4.01,742920,0.04,0.48,0.03,6949223,9867,79059,505
Adams,Colorado,9:30,-79.07,-6.1,0.14,0.58,0.45,2.84,720279,0.01,0.11,0.04,3722957,3558,8927,859
Alamosa,Colorado,9:30,-79.86,-7.65,0.54,0.13,0.11,4.39,735955,0.06,0.12,0.06,3362222,6535,4368,861
Arapahoe,Colorado,9:30,-78.34,-7.82,0.4,0.3,0.14,4.89,325228,0.05,0.41,0.01,5171721,6990,62887,700
Archuleta,Colorado,9:30,-77.64,-7.28,0.15,0.13,0.43,3.52,678201,0.08,0.19,0.05,8134324,4737,54105,255
Baca,Colorado,9:30,-81.31,-6.57,0.36,0.21,0.32,3.22,624138,0.01,0.32,0.09,8834450,3628,10711,811
Bent,Colorado,9:30,-81.35,-7.24,0.42,0.31,0.14,2.91,235523,0.05,0.45,0.07,4716454,4363,13801,805
Boulder,Colorado,9:30,-81.3,-6.15,0.35,0.39,0.32,2.68,415803,0.01,0.4,0.08,6689223,4253,18898,727
Broomfield,Colorado,9:30,-78.65,-7.87,0.22,0.12,0.27,4.33,366604,0.07,0.1,0.1,5670120,5019,21451,383
Chaffee,Colorado,9:30,-79.77,-7.82,0.13,0.46,0.24,4.46,495012,0.06,0.45,0.04,8263740,7228,36703,266
Cheyenne,Colorado,9:30,-76.15,-7.04,0.16,0.24,0.19,2.09,524136,0.1,0.29,0.02,4925971,3449,66597,433
Clear Creek,Colorado,9:30,-76.1,-7.94,0.41,0.44,0.36,2.1,234261,0.1,0.45,0.06,8215170,6813,68256,279
Conejos,Colorado,9:30,-80.21,-6.87,0.45,0.18,0.43,4.38,673855,0.05,0.6,0.09,3823268,4255,11604,124
Costilla,Colorado,9:30,-76.87,-7.26,0.37,0.45,0.5,2.22,486270,0.01,0.13,0.09,5656073,7190,32180,861
Crowley,Colorado,9:30,-77.89,-7.32,0.29,0.36,0.33,3.96,949990,0.09,0.28,0.04,5615145,5288,58127,566
Custer,Colorado,9:30,-78.27,-7.76,0.53,0.55,0.28,4.9,681323,0.05,0.42,0.03,4777190,2928,56973,652
Delta,Colorado,9:30,-76.88,-7.73,0.51,0.42,0.34,3.9,891039,0.04,0.12,0.09,6615105,7814,73714,750
Denver,Colorado,9:30,-78.95,-7.23,0.17,0.35,0.42,4.31,702346,0.02,0.2,0.03,3773255,7597,42152,702
Dolores,Colorado,9:30,-81.55,-7.26,0.53,0.24,0.27,2.65,293722,0.01,0.45,0.01,7780555,8892,72598,263
Douglas,Colorado,9:30,-80.98,-7.74,0.36,0.44,0.43,3.16,936320,0.1,0.28,0.04,7587093,4102,76860,189
Eagle,Colorado,9:30,-77.62,-6.85,0.46,0.35,0.33,2.04,101932,0.01,0.39,0.05,5271092,9273,61247,350
Elbert,Colorado,9:30,-78.47,-7.02,0.28,0.28,0.34,3.97,269520,0.07,0.56,0.05,8543015,5221,78078,447
El Paso,Colorado,9:30,-77.56,-6.98,0.33,0.15,0.29,2.63,244390,0.03,0.21,0.03,4578369,3638,77785,177
Fremont,Colorado,9:30,-80.51,-7,0.13,0.38,0.22,2.61,863394,0.03,0.56,0.09,3655102,6021,58539,652
Garfield,Colorado,9:30,-79.16,-6.85,0.48,0.43,0.17,3.85,769188,0.03,0.13,0.1,7920953,9741,3239,126
Gilpin,Colorado,9:30,-81.34,-7.24,0.34,0.21,0.47,4.06,131209,0.07,0.53,0.04,7721473,4437,43244,887
Grand,Colorado,9:30,-80.75,-7.3,0.15,0.1,0.34,3.14,788886,0.05,0.1,0.06,4818553,5138,42705,260
Gunnison,Colorado,9:30,-78.02,-6.93,0.36,0.25,0.47,3.31,986945,0.02,0.34,0.01,4262168,7719,31350,768
Hinsdale,Colorado,9:30,-79.91,-6.51,0.55,0.56,0.2,3.07,500455,0.02,0.52,0.08,6390380,7565,69461,227
Huerfano,Colorado,9:30,-81.4,-6.23,0.38,0.36,0.45,4.56,822322,0.1,0.58,0.03,8217764,2206,12971,562
Jackson,Colorado,9:30,-76.59,-6.62,0.2,0.1,0.4,4.69,104065,0.04,0.43,0.07,3049199,9315,61535,409
Jefferson,Colorado,9:30,-76.13,-6.26,0.22,0.22,0.3,3.08,320464,0.01,0.26,0.08,5600930,1777,38092,870
Kiowa,Colorado,9:30,-79.29,-6.35,0.32,0.3,0.46,3.23,734748,0.02,0.1,0.06,5900272,7756,2597,485
Kit Carson,Colorado,9:30,-78.66,-6.71,0.44,0.39,0.44,2.14,446775,0.03,0.37,0.1,8511247,1430,71621,860
Lake,Colorado,9:30,-79.24,-6.32,0.23,0.46,0.15,3.63,185880,0.07,0.41,0.06,7310625,8927,24805,621
La Plata,Colorado,9:30,-79.38,-6.25,0.21,0.13,0.43,2.08,240480,0.04,0.21,0.07,8347689,8866,16793,537
Larimer,Colorado,9:30,-79,-6.63,0.57,0.6,0.19,4.35,587035,0.02,0.21,0.01,3411589,4232,26252,399
Las Animas,Colorado,9:30,-77.75,-7.34,0.53,0.56,0.12,2.07,161579,0.1,0.52,0.05,3663256,1441,78550,459
Lincoln,Colorado,9:30,-78.75,-6.58,0.15,0.52,0.4,2.05,133434,0.05,0.35,0.07,8510176,2625,49698,750
Logan,Colorado,9:30,-80.93,-6.2,0.45,0.17,0.14,2.15,587129,0.04,0.31,0.04,7067690,2469,3120,826
Mesa,Colorado,9:30,-76.64,-7.54,0.33,0.27,0.33,2.37,571298,0.03,0.46,0.06,6933920,6290,38763,893
Mineral,Colorado,9:30,-79.72,-6.83,0.39,0.15,0.39,2.98,456738,0.01,0.58,0.02,3392983,5672,40483,621
Moffat,Colorado,9:30,-81.5,-7.18,0.26,0.49,0.27,2.07,278060,0.01,0.23,0.09,5128802,9272,4392,623
Montezuma,Colorado,9:30,-80.13,-6.58,0.36,0.1,0.39,2.3,849552,0.08,0.49,0.06,5148423,8759,48217,713
Montrose,Colorado,9:30,-76.26,-6.59,0.38,0.34,0.49,3.15,588830,0.07,0.14,0.06,8197990,3321,31869,759
Morgan,Colorado,9:30,-80.88,-6.65,0.36,0.57,0.26,3.99,444703,0.01,0.48,0.06,3213291,1924,34918,335
Otero,Colorado,9:30,-79.68,-6.46,0.25,0.44,0.48,3.71,705139,0.01,0.16,0.07,5006252,4209,62256,836
Ouray,Colorado,9:30,-77.4,-6.49,0.22,0.31,0.3,4.97,271838,0.05,0.54,0.07,6239191,1561,11095,254
Park,Colorado,9:30,-79.21,-6.29,0.44,0.56,0.22,3.48,488700,0.02,0.41,0.05,7426646,3596,38279,691
Phillips,Colorado,9:30,-80.67,-6.61,0.5,0.58,0.22,2.96,123931,0.04,0.54,0.04,6425472,3861,30374,702
Pitkin,Colorado,9:30,-81.78,-6.18,0.19,0.23,0.42,2.56,949809,0.08,0.35,0.1,8367182,2773,16230,167
Prowers,Colorado,9:30,-80.87,-7.74,0.17,0.56,0.3,2.83,485043,0.01,0.23,0.01,5784824,1258,44495,157
Pueblo,Colorado,9:30,-77.31,-6.44,0.25,0.43,0.46,4.98,906679,0.05,0.28,0.01,5786394,9372,23783,822
Rio Blanco,Colorado,9:30,-79.44,-6.79,0.41,0.3,0.33,4.13,236052,0.1,0.11,0.09,4511695,1117,76064,186
Rio Grande,Colorado,9:30,-80.84,-6.05,0.43,0.57,0.5,4.61,866391,0.02,0.2,0.02,5484315,2118,42180,423
Routt,Colorado,9:30,-76.95,-6.16,0.19,0.18,0.11,2.58,256460,0.06,0.14,0.06,6717033,5125,31727,793
Saguache,Colorado,9:30,-78.84,-7.64,0.17,0.44,0.48,4.09,171272,0.01,0.13,0.03,6489985,6990,75379,898
San Juan,Colorado,9:30,-81.61,-6.54,0.29,0.14,0.26,2.81,903263,0.02,0.3,0.01,4369311,9559,15325,228
San Miguel,Colorado,9:30,-76.82,-7.37,0.35,0.55,0.18,4.45,763312,0.03,0.16,0.05,6986978,2219,28378,598
Sedgwick,Colorado,9:30,-80.92,-7.39,0.26,0.33,0.46,2.01,234629,0.08,0.16,0.01,6569802,8087,42613,681
Summit,Colorado,9:30,-78.85,-7.01,0.46,0.31,0.16,3.54,831298,0.04,0.39,0.08,6687931,6182,65566,163
Teller,Colorado,9:30,-78.02,-6.09,0.6,0.45,0.35,2.18,421269,0.01,0.42,0.08,6564887,3173,48370,729
Washington,Colorado,9:30,-77.59,-7.51,0.48,0.29,0.31,2.24,340187,0.05,0.44,0.05,6840448,5201,35520,695
Weld,Colorado,9:30,-76.29,-6.48,0.59,0.53,0.4,3.2,868628,0.05,0.45,0.04,3945744,4938,3812,817
Yuma,Colorado,9:30,-81.2,-7.81,0.44,0.35,0.37,4.24,164733,0.01,0.54,0.06,4262720,5892,51337,698
Fairfield,Connecticut,9:30,-77.97,-7.36,0.11,0.42,0.18,2.09,592247,0.1,0.24,0.04,3191905,6457,52743,456
Hartford,Connecticut,9:30,-77.02,-7.06,0.6,0.52,0.15,2.13,971789,0.03,0.34,0.1,8588426,6714,39744,427
Litchfield,Connecticut,9:30,-77.59,-7.66,0.14,0.41,0.14,2.15,344223,0.06,0.28,0.05,7583899,3758,19763,268
Middlesex,Connecticut,9:30,-78.8,-7.13,0.39,0.16,0.2,2.02,903802,0.08,0.57,0.04,5817322,3493,29535,699
New Haven,Connecticut,9:30,-80.06,-7.88,0.55,0.4,0.22,3.13,651284,0.1,0.45,0.05,6275988,6697,29856,851
New London,Connecticut,9:30,-80.87,-6.01,0.38,0.18,0.15,3.59,608818,0.02,0.18,0.01,6696967,6509,44252,610
Tolland,Connecticut,9:30,-81.78,-6.78,0.28,0.36,0.48,3.39,398561,0.03,0.31,0.08,4692803,4451,29898,712
Windham,Connecticut,9:30,-76.84,-7.15,0.12,0.54,0.31,2.06,683266,0.05,0.27,0.09,3292689,9420,37176,203
Kent,Delaware,9:30,-78.76,-6.43,0.48,0.37,0.49,3.74,107217,0.02,0.36,0.09,5195566,6916,67560,785
New Castle,Delaware,9:30,-76.65,-6.18,0.33,0.31,0.15,4.68,227872,0.07,0.55,0.06,7160241,7740,41580,282
Sussex,Delaware,9:30,-78.32,-7.7,0.38,0.58,0.21,4.35,453226,0.07,0.31,0.04,6846681,4828,48861,705
District,Columbia,9:30,-80.27,-6.64,0.48,0.3,0.27,3.58,247021,0.04,0.44,0.1,7848691,2057,16789,554
Alachua,Florida,9:30,-81.29,-7.54,0.4,0.18,0.12,4.44,431951,0.02,0.22,0.04,3405556,9223,66504,460
Baker,Florida,9:30,-76.61,-6.17,0.5,0.12,0.17,3.01,210211,0.07,0.4,0.04,5033655,4113,22875,384
Bay,Florida,9:30,-80.62,-6.01,0.51,0.42,0.37,2.25,509738,0.03,0.36,0.05,7924282,8786,38086,374
Bradford,Florida,9:30,-81.45,-6.48,0.58,0.46,0.16,2.4,545539,0.03,0.52,0.1,3259590,2299,3395,495
Brevard,Florida,9:30,-80.3,-7.82,0.29,0.46,0.5,2.12,531067,0.03,0.54,0.03,7151569,3702,77807,714
Broward,Florida,9:30,-78.93,-7.22,0.39,0.16,0.5,2.9,875354,0.06,0.52,0.02,5013618,4045,78983,382
Calhoun,Florida,9:30,-77.82,-7.42,0.48,0.56,0.41,4.41,355355,0.06,0.6,0.07,8456310,8901,25947,336
Charlotte,Florida,9:30,-78.18,-6.81,0.46,0.12,0.2,4.7,433433,0.02,0.15,0.03,3662852,4467,28896,805
Citrus,Florida,9:30,-81.34,-6.15,0.32,0.56,0.14,3.97,534498,0.04,0.4,0.06,4693577,8243,26285,184
Clay,Florida,9:30,-76.58,-7.33,0.36,0.21,0.28,3.73,171850,0.09,0.33,0.01,5425876,2966,36645,139
Collier,Florida,9:30,-81.15,-6.37,0.32,0.36,0.4,4.72,316190,0.01,0.51,0.02,3276970,7206,78079,726
Columbia,Florida,9:30,-76.38,-6.01,0.12,0.43,0.17,3.39,879092,0.09,0.33,0.06,4288083,6334,41437,576
DeSoto,Florida,9:30,-79.5,-6.11,0.49,0.48,0.22,3.94,405061,0.1,0.22,0.04,3134055,7787,17969,360
Dixie,Florida,9:30,-80.65,-7.29,0.19,0.43,0.27,3.19,813107,0.09,0.53,0.03,4019390,2347,62363,298
Duval,Florida,9:30,-80.75,-6.48,0.58,0.18,0.18,3.79,490089,0.06,0.38,0.08,4490202,3564,58944,233
Escambia,Florida,9:30,-76.43,-7.07,0.19,0.49,0.44,4.71,798322,0.03,0.16,0.03,7667974,2962,34605,891
Flagler,Florida,9:30,-77.87,-7.55,0.45,0.57,0.25,3.53,337631,0.07,0.29,0.06,8554859,7076,7755,375
Franklin,Florida,9:30,-81.31,-6.41,0.58,0.24,0.1,2.12,986233,0.06,0.52,0.1,3627525,5391,37110,360
Gadsden,Florida,9:30,-78.93,-7.03,0.19,0.57,0.41,3.6,432214,0.09,0.4,0.04,6136952,1763,15669,808
Gilchrist,Florida,9:30,-78.02,-6.42,0.11,0.48,0.39,4.85,307113,0.02,0.2,0.02,3877976,7656,29792,135
Glades,Florida,9:30,-76.14,-6.19,0.27,0.58,0.35,3.46,781555,0.08,0.21,0.05,6606487,8592,48371,856
Gulf,Florida,9:30,-80.68,-7.76,0.17,0.14,0.45,3.07,524402,0.02,0.49,0.05,4451714,3582,79311,836
Hamilton,Florida,9:30,-76.14,-6.07,0.29,0.13,0.23,4.47,962852,0.03,0.54,0.04,8485930,3834,69459,809
Hardee,Florida,9:30,-78.34,-7.67,0.52,0.31,0.24,4.71,631901,0.01,0.13,0.06,4315680,9725,74440,127
Hendry,Florida,9:30,-79.22,-7.8,0.58,0.31,0.2,3.25,391882,0.07,0.29,0.07,7999437,4778,65382,877
Hernando,Florida,9:30,-78.97,-6.31,0.38,0.35,0.27,3.8,480244,0.1,0.57,0.07,6212238,3190,61223,349
Highlands,Florida,9:30,-80.21,-7.68,0.14,0.24,0.45,2.37,787567,0.1,0.49,0.01,5862403,4446,2321,727
Hillsborough,Florida,9:30,-80.27,-6.01,0.44,0.18,0.19,3.62,463750,0.09,0.55,0.06,6434197,6117,16453,509
Holmes,Florida,9:30,-78.86,-7.36,0.55,0.52,0.11,2.77,273959,0.01,0.18,0.07,3028082,7026,13715,169
Indian River,Florida,9:30,-76.5,-6.47,0.13,0.49,0.3,4.69,553022,0.06,0.32,0.03,8495616,9777,74928,885
Jackson,Florida,9:30,-80.29,-6.28,0.53,0.52,0.29,2.93,261292,0.02,0.52,0.07,3416873,8961,69123,244
Jefferson,Florida,9:30,-76.41,-7.25,0.58,0.53,0.37,3.03,438771,0.08,0.41,0.06,6929046,9724,12922,545
Lafayette,Florida,9:30,-78.96,-7.83,0.28,0.12,0.44,2.13,121168,0.01,0.1,0.07,6080385,6856,10231,284
Lake,Florida,9:30,-77.52,-7.99,0.22,0.25,0.17,4.82,967062,0.06,0.4,0.06,6842126,2686,21326,812
Lee,Florida,9:30,-79.37,-6.02,0.58,0.54,0.17,3.9,920889,0.01,0.47,0.08,3085281,2333,9981,289
Leon,Florida,9:30,-81.11,-7.08,0.51,0.19,0.35,4.69,396108,0.01,0.39,0.01,7099342,5827,67803,177
Levy,Florida,9:30,-78.59,-6.66,0.57,0.56,0.19,2.7,712993,0.04,0.32,0.04,7813148,6484,19161,317
Liberty,Florida,9:30,-77.06,-7.51,0.11,0.51,0.15,4.29,342172,0.1,0.31,0.08,3040348,6773,7106,618
Madison,Florida,9:30,-81.07,-6.58,0.54,0.3,0.49,2.91,635799,0.08,0.45,0.03,4700771,3577,69142,742
Manatee,Florida,9:30,-78.48,-6.07,0.24,0.27,0.42,2.83,815498,0.05,0.4,0.07,3881094,7538,14569,257
Marion,Florida,9:30,-80.08,-7.39,0.48,0.41,0.25,4.25,452623,0.05,0.28,0.08,6060213,1357,24931,310
Martin,Florida,9:30,-77.7,-7.97,0.1,0.31,0.22,4.43,316981,0.04,0.3,0.09,7864342,5002,59844,747
Miami-Dade,Florida,9:30,-80.4,-6.56,0.33,0.52,0.41,4.09,158313,0.07,0.47,0.1,7350804,4554,33189,446
Monroe,Florida,9:30,-77.05,-7.75,0.28,0.49,0.45,3.74,184874,0.05,0.52,0.03,6640372,5504,68475,464
Nassau,Florida,9:30,-77.46,-7.12,0.1,0.13,0.47,3.2,550884,0.08,0.13,0.05,3886282,6388,78114,812
Okaloosa,Florida,9:30,-79.25,-6.71,0.4,0.23,0.37,4.39,174825,0.04,0.45,0.03,8626445,4785,6071,754
Okeechobee,Florida,9:30,-78.03,-6.18,0.42,0.36,0.13,2.49,492492,0.02,0.1,0.05,4436185,2925,40292,832
Orange,Florida,9:30,-79.31,-6.95,0.48,0.52,0.12,3.1,375698,0.05,0.16,0.04,7027320,5179,50663,187
Osceola,Florida,9:30,-77.75,-7.74,0.45,0.1,0.19,2.84,745960,0.01,0.52,0.05,7015711,8751,36645,864
Palm Beach,Florida,9:30,-81.28,-7.37,0.6,0.2,0.27,3,535939,0.08,0.45,0.07,5477057,1752,9825,195
Pasco,Florida,9:30,-76.96,-6.78,0.57,0.22,0.17,4.96,222727,0.04,0.29,0.03,5160125,3482,33881,628
Pinellas,Florida,9:30,-80.99,-7.64,0.51,0.14,0.49,3.53,602153,0.07,0.53,0.1,5870444,9432,26137,135
Polk,Florida,9:30,-81.91,-7.03,0.39,0.55,0.34,4.62,685054,0.04,0.14,0.05,7736213,2064,77267,689
Putnam,Florida,9:30,-80.01,-6.86,0.14,0.1,0.46,2.06,633435,0.09,0.56,0.07,4465875,4280,75585,713
St. Johns,Florida,9:30,-78.64,-7.47,0.51,0.56,0.35,2.14,462712,0.05,0.42,0.07,4334830,1780,5527,108
St. Lucie,Florida,9:30,-78.83,-6.82,0.48,0.11,0.43,3.03,640051,0.09,0.14,0.03,7859070,5557,53881,421
Santa Rosa,Florida,9:30,-76.84,-6.6,0.45,0.26,0.15,4.56,329004,0.05,0.18,0.03,4332331,6758,34592,871
Sarasota,Florida,9:30,-78.35,-7.13,0.31,0.13,0.36,2.77,338927,0.03,0.29,0.07,3700277,9834,7553,516
Seminole,Florida,9:30,-78.35,-6.14,0.6,0.39,0.48,4.89,343134,0.07,0.1,0.09,7366890,1133,41889,265
Sumter,Florida,9:30,-76.02,-6.96,0.27,0.34,0.32,2.92,247428,0.08,0.19,0.05,5078446,3084,77120,527
Suwannee,Florida,9:30,-78.95,-7.36,0.2,0.27,0.19,2.88,141040,0.06,0.17,0.01,8442247,8848,51516,586
Taylor,Florida,9:30,-76.22,-6.48,0.26,0.49,0.42,3.99,890027,0.02,0.46,0.04,6959043,4657,40043,539
Union,Florida,9:30,-78.9,-7.34,0.46,0.2,0.14,2.42,704153,0.08,0.21,0.05,3448727,2185,55033,665
Volusia,Florida,9:30,-79.86,-7.59,0.52,0.43,0.35,4.41,619840,0.05,0.35,0.07,3377236,1595,59637,344
Wakulla,Florida,9:30,-77.49,-7.47,0.29,0.6,0.39,2.51,495076,0.02,0.51,0.1,6080084,8490,45380,505
Walton,Florida,9:30,-78.06,-6.76,0.43,0.18,0.39,3.14,130817,0.01,0.57,0.07,7181064,6143,12446,148
Washington,Florida,9:30,-81.15,-6.68,0.25,0.23,0.16,4.18,647386,0.06,0.15,0.03,7337156,1959,21612,672
Appling,Georgia,9:30,-78.87,-6.18,0.15,0.11,0.4,3.98,700966,0.07,0.39,0.08,6820575,8970,38869,819
Atkinson,Georgia,9:30,-77.72,-7.12,0.29,0.46,0.21,2.31,332138,0.02,0.5,0.09,6629910,9583,46481,276
Bacon,Georgia,9:30,-80.07,-6.29,0.18,0.48,0.32,2.37,228317,0.08,0.37,0.05,7411208,5506,71174,366
Baker,Georgia,9:30,-78.89,-6.24,0.51,0.11,0.38,4.81,344486,0.07,0.45,0.08,6005452,4736,28823,258
Baldwin,Georgia,9:30,-80.28,-7.6,0.14,0.4,0.21,2.76,831291,0.07,0.58,0.1,4588796,2021,74522,433
Banks,Georgia,9:30,-81.29,-6.1,0.44,0.42,0.12,4.08,708950,0.06,0.36,0.02,6354420,5923,42059,434
Barrow,Georgia,9:30,-76.4,-7.12,0.11,0.6,0.36,2.56,532502,0.01,0.21,0.1,5548797,8318,52791,516
Bartow,Georgia,9:30,-80.34,-7.72,0.5,0.41,0.5,3.51,904447,0.06,0.34,0.07,5223772,1650,72181,527
Ben Hill,Georgia,9:30,-79.85,-6.4,0.5,0.24,0.26,2.01,996907,0.08,0.6,0.09,4507365,5049,11257,797
Berrien,Georgia,9:30,-80.58,-6.51,0.5,0.1,0.49,4.44,689043,0.1,0.51,0.09,7440378,5019,43842,508
Bibb,Georgia,9:30,-80.32,-6.34,0.38,0.49,0.47,2.19,786111,0.1,0.49,0.09,8740105,6178,72460,679
Bleckley,Georgia,9:30,-80.2,-7.08,0.13,0.1,0.23,2.94,439934,0.07,0.39,0.07,4287212,9782,51721,180
Brantley,Georgia,9:30,-81.23,-6.72,0.26,0.22,0.32,4.13,860012,0.02,0.13,0.05,7069200,6303,48805,254
Brooks,Georgia,9:30,-80.91,-6.88,0.33,0.47,0.29,3.04,764433,0.1,0.52,0.01,7705466,5969,63020,303
Bryan,Georgia,9:30,-81.57,-7.1,0.6,0.15,0.33,4.39,916690,0.04,0.45,0.03,4562389,2933,4433,521
Bulloch,Georgia,9:30,-80.73,-6.27,0.35,0.42,0.1,2.25,844903,0.08,0.2,0.01,3880991,1412,26277,217
Burke,Georgia,9:30,-77.22,-6.86,0.26,0.34,0.16,2.97,509698,0.05,0.53,0.09,3624093,8032,60598,275
Butts,Georgia,9:30,-77.04,-7.24,0.44,0.35,0.41,4.96,868153,0.01,0.1,0.09,3958805,8770,63098,551
Calhoun,Georgia,9:30,-78.68,-7.91,0.43,0.31,0.31,2.88,605537,0.1,0.48,0.05,7094380,1489,14819,625
Camden,Georgia,9:30,-80.62,-7.99,0.55,0.37,0.45,2.43,322977,0.06,0.21,0.03,5631312,7597,49423,437
