Counties,States,Time,Subscriber,Coverage RSRP,Quality RSRQ,VoLTE Drop Call (%),VoLTE Block Call (%),VoLTE Setup Failure (%),VoLTE Setup Time (sec),VoLTE Holding Time (min),Data Drop Call (%),Data Block Call (%),Data Setup Failure (%),Data DL Volume (MB),Data UL Volume (MB),Data DL Throughput (kbps),Data UL Throughput (kbps)
Perry County,Ohio,2017-1-4-0-0,95955873,-63,-13,5.18,4.1,7.44,15.7,103077,1.62,2.84,0.08,937852,23284,24237,3378
Pickaway County,Ohio,2017-1-4-0-0,78139034,-114,-7,0.14,1.98,3.89,9.9,622909,3.9,2.5,1.69,322051,31823,32596,3688
Pike County,Ohio,2017-1-4-0-0,73622359,-79,-16,2.26,3.17,11.18,9.2,731822,4.83,2.31,6.44,133530,33845,19834,3263
Portage County,Ohio,2017-1-4-0-0,5011726,-119,-6,0.34,1.32,3.63,13.6,602745,0.17,2.73,2.98,450998,23682,5088,748
Preble County,Ohio,2017-1-4-0-0,42516713,-114,-10,3.78,4.89,7.41,17.3,661210,2.99,1.55,1.5,480869,5350,35518,2959
Putnam County,Ohio,2017-1-4-0-0,89160645,-64,-11,5.32,1.91,3.11,10.4,182929,1.41,2.57,10.03,125031,10992,13688,4367
Richland County,Ohio,2017-1-4-0-0,80874634,-68,-8,0.93,5.21,10.6,12.7,114017,3.44,4.74,5.73,376147,29066,2024,3997
Ross County,Ohio,2017-1-4-0-0,40881292,-102,-11,4.56,2.76,4.82,18.9,985175,4.77,0.18,1.62,663546,46041,17442,1707
Sandusky County,Ohio,2017-1-4-0-0,60366056,-61,-11,4.16,1.16,2.65,19.8,629225,2.33,4.61,9.27,659476,1557,15646,4006
Scioto County,Ohio,2017-1-4-0-0,14594510,-97,-11,2.43,3.56,1.15,6.4,725067,2.79,5.07,10.44,381781,2512,27254,755
Seneca County,Ohio,2017-1-4-0-0,29215928,-108,-7,5.27,2.14,1.86,19.3,465850,2.07,1.83,11.39,914731,26519,42000,3092
Shelby County,Ohio,2017-1-4-0-0,87910554,-112,-13,4.83,2.3,7.57,9.2,598320,3.18,0.33,0.35,516936,24305,42916,3519
Stark County,Ohio,2017-1-4-0-0,47879971,-76,-15,2.5,0.33,3.97,15.2,359238,5.3,2.21,5.2,681590,16571,8456,2500
Summit County,Ohio,2017-1-4-0-0,3489408,-75,-12,5.18,5.07,11.95,3.2,583978,3.72,4.64,1.65,852349,46794,12303,2836
Trumbull County,Ohio,2017-1-4-0-0,96301010,-113,-16,1.12,3.55,11.1,6,537131,0.48,1.09,6.39,930874,27091,7633,4580
Tuscarawas County,Ohio,2017-1-4-0-0,12806243,-72,-9,1.09,2.95,8.45,19.5,199046,2.8,1.03,1.7,758586,48862,45567,1259
Union County,Ohio,2017-1-4-0-0,2067824,-67,-15,0.26,3.37,6.23,6.4,910762,4.21,0.17,11.23,713948,7920,24365,3570
Van Wert County,Ohio,2017-1-4-0-0,2861414,-98,-9,1.43,4.51,11.03,13.7,104279,2.53,1.97,5.71,532405,4649,34959,4493
Vinton County,Ohio,2017-1-4-0-0,20225752,-105,-11,4.58,1.85,11.47,4.4,703663,4.99,2.05,6.96,126296,5108,46993,3611
Warren County,Ohio,2017-1-4-0-0,83935335,-111,-11,2.42,2.47,1.19,8.1,332978,4.83,1.28,11.36,817321,31753,2983,1944
Washington County,Ohio,2017-1-4-0-0,63371692,-60,-15,3.89,3.34,10.15,17,106256,2.73,1.55,8,937694,5118,27897,4665
Wayne County,Ohio,2017-1-4-0-0,30136484,-110,-12,1.38,5.26,11.31,14.2,543492,4.37,2.38,1.49,352000,12598,24487,3016
Williams County,Ohio,2017-1-4-0-0,75980528,-69,-8,4.12,4.19,0.36,14.1,679623,1.09,2.88,9.68,848360,22245,31621,979
Wood County,Ohio,2017-1-4-0-0,84329609,-60,-14,1.59,4.22,9.35,12.2,809902,3.43,5.48,5.58,228029,33007,4116,1598
Wyandot County,Ohio,2017-1-4-0-0,87254158,-64,-9,0.53,1.11,6.46,11.5,392549,4.28,4.35,5.52,722755,11867,38024,3136
Adair County,Oklahoma,2017-1-4-0-0,72766655,-114,-16,1.33,1.83,0.21,13.1,688391,0.34,4,6.29,156228,22297,19948,420
Alfalfa County,Oklahoma,2017-1-4-0-0,94484625,-103,-15,3.23,1.15,9.72,1.3,486662,2.6,2.19,7.37,148018,40892,35896,3882
Atoka County,Oklahoma,2017-1-4-0-0,36482779,-93,-12,0.84,0.13,6.66,4.8,248171,3.65,4.75,1.14,300722,6198,6542,3004
Beaver County,Oklahoma,2017-1-4-0-0,15609698,-62,-13,2.75,4.91,8.71,1,948685,4.08,2.22,1.87,929722,32793,40856,4120
Beckham County,Oklahoma,2017-1-4-0-0,98601144,-74,-12,0.24,0.6,4.15,8.6,838729,0.09,3.97,1.74,246190,15601,19769,3432
Blaine County,Oklahoma,2017-1-4-0-0,59499636,-105,-6,4.7,4.47,8.02,3.1,232079,3.89,0.3,5.47,453217,33801,14404,1925
Bryan County,Oklahoma,2017-1-4-0-0,61290125,-74,-13,0.51,0.71,1.1,19.9,882868,1.4,4.07,10.12,281039,2436,29679,1747
Caddo County,Oklahoma,2017-1-4-0-0,60165936,-89,-9,4.38,0.19,10.34,18.3,196363,3.75,2.6,1.26,135907,21630,24030,404
Canadian County,Oklahoma,2017-1-4-0-0,47371019,-74,-8,0.46,5.37,5.01,13.4,611207,0.93,3.65,3.15,521578,25106,1043,447
Carter County,Oklahoma,2017-1-4-0-0,93647870,-85,-15,5.3,2.4,3.74,13.1,251769,0.28,4.81,5.21,596566,7092,11264,4382
Cherokee County,Oklahoma,2017-1-4-0-0,76134827,-115,-13,2.3,1.04,10.86,17.8,689056,2.31,1.85,2.46,103248,15716,14611,2748
Choctaw County,Oklahoma,2017-1-4-0-0,87907051,-95,-16,1.74,5.24,4.88,11.1,286478,4.12,4.19,1.34,386141,12845,14176,4361
Cimarron County,Oklahoma,2017-1-4-0-0,75052330,-66,-15,3.71,4.85,4.02,4.3,746728,0.14,3.46,9.42,185631,23502,22083,3862
Cleveland County,Oklahoma,2017-1-4-0-0,94591074,-103,-6,2.54,1.35,0.83,2.7,953673,1.21,0.27,9.85,947426,22032,30894,1353
Coal County,Oklahoma,2017-1-4-0-0,66619966,-64,-6,3.76,5.48,11.44,8,216089,4.08,3.31,11.42,877221,33153,38412,567
Comanche County,Oklahoma,2017-1-4-0-0,33121432,-74,-12,3.36,1.19,9.19,1.4,957603,0.91,3.29,7.92,993751,41412,36992,3034
Cotton County,Oklahoma,2017-1-4-0-0,38527215,-94,-7,4.98,0.31,2.67,4.6,260212,4.58,1.07,6.75,788191,42723,39861,3642
Craig County,Oklahoma,2017-1-4-0-0,49464156,-114,-11,3.09,4.08,1.24,8.8,235089,3.97,2.98,8.56,306685,5387,44724,4409
Creek County,Oklahoma,2017-1-4-0-0,9720273,-119,-11,5.03,3.49,2.03,1.1,956104,0.73,1.11,1.15,748283,16954,27266,1605
Custer County,Oklahoma,2017-1-4-0-0,3805518,-65,-10,1.79,3.99,4.05,18.6,214607,0.49,0.71,1.18,820908,3540,46583,3629
Delaware County,Oklahoma,2017-1-4-0-0,85345526,-111,-16,1.88,1.97,2.45,11.8,726310,2.64,3.64,10.4,930131,48741,9975,2610
Dewey County,Oklahoma,2017-1-4-0-0,38450995,-62,-13,0.72,1.13,3.69,5.5,536612,1.52,0.62,4.76,404164,14153,8211,3383
Ellis County,Oklahoma,2017-1-4-0-0,54698582,-107,-16,3.65,3.95,5.1,12.5,161710,3.16,1,0.65,526438,18910,28123,215
Garfield County,Oklahoma,2017-1-4-0-0,65383084,-92,-10,5.24,2.47,9.12,11.2,135877,2.85,1.8,4.63,376218,45404,20221,1637
Garvin County,Oklahoma,2017-1-4-0-0,33894819,-115,-11,3.71,2.96,6.83,11.1,422633,1.8,4.01,8.01,695244,25164,49469,1303
Grady County,Oklahoma,2017-1-4-0-0,92753321,-109,-6,2.04,2.22,6.85,15.2,447838,3.42,2.04,2.2,602082,41697,16656,276
Grant County,Oklahoma,2017-1-4-0-0,63446501,-115,-11,2.06,2.07,11.03,16.5,288249,0.81,1.9,3.99,357427,39778,12018,129
Greer County,Oklahoma,2017-1-4-0-0,58238948,-110,-14,0.64,4.63,2.35,14.4,520964,3.3,4.12,9.99,796372,28502,41459,2370
Harmon County,Oklahoma,2017-1-4-0-0,61295697,-92,-16,0.99,0.28,1.71,8.5,829877,5.33,4.71,2.37,212671,21620,41316,4117
Harper County,Oklahoma,2017-1-4-0-0,97766848,-95,-12,3.82,2.49,6.46,7.1,571871,3.36,5.41,11.86,840256,36717,36331,4121
Haskell County,Oklahoma,2017-1-4-0-0,91877077,-78,-13,0.22,0.78,9.72,6.3,378791,4.9,1.8,0.31,958192,20805,41392,2008
Hughes County,Oklahoma,2017-1-4-0-0,76040004,-66,-15,4.23,1.37,0.47,15.3,793684,0.22,4.63,4.81,373425,23673,47904,2392
Jackson County,Oklahoma,2017-1-4-0-0,82142458,-120,-13,3.75,3.75,4.04,3.3,942407,2.5,3.57,5.44,145296,3216,36300,4340
Jefferson County,Oklahoma,2017-1-4-0-0,79304700,-120,-15,3.49,4.71,9.81,10.9,507712,5.05,2.01,2.94,390687,34136,18911,363
Johnston County,Oklahoma,2017-1-4-0-0,8509874,-120,-10,0.33,4.52,4.3,5.2,960246,4.76,4.26,1.88,338163,49216,48161,4143
Kay County,Oklahoma,2017-1-4-0-0,67293735,-114,-6,5.43,0.15,3.51,18.1,809716,4.81,3.16,4.52,402612,16755,21033,651
Kingfisher County,Oklahoma,2017-1-4-0-0,77643974,-71,-13,0.34,2.73,5.09,5.1,121606,2.48,2.24,11.58,399798,2461,34657,4525
Kiowa County,Oklahoma,2017-1-4-0-0,97880927,-107,-15,2.15,3.68,8.48,11.9,623621,5.35,4.91,6.63,453613,39824,42968,452
Latimer County,Oklahoma,2017-1-4-0-0,74773678,-61,-16,3.61,0.24,2.14,0.7,645835,3.2,0.33,4.71,488216,23345,19935,1917
Le Flore County,Oklahoma,2017-1-4-0-0,33779659,-74,-10,2.38,4.35,11.38,6.1,731164,3.38,1.84,5.14,232330,17106,37811,469
Lincoln County,Oklahoma,2017-1-4-0-0,80632209,-88,-15,1.9,2.27,2.68,1.6,753103,1.64,2.11,11.11,584075,24203,26486,590
Logan County,Oklahoma,2017-1-4-0-0,2653520,-88,-6,4.31,5.02,11.39,11.6,852901,3.67,0.18,7.82,502534,22457,20419,2420
Love County,Oklahoma,2017-1-4-0-0,63058914,-100,-12,3.86,2.84,1.18,13,645278,4.81,1.87,11.34,768210,8383,8344,673
McClain County,Oklahoma,2017-1-4-0-0,81562376,-116,-9,3.45,3.85,10.25,13,306148,0.74,0.88,10.99,469449,42777,10820,3091
McCurtain County,Oklahoma,2017-1-4-0-0,99583406,-113,-11,2.27,3.44,6.88,11.4,675307,1.83,0.23,5.71,609162,42751,33230,1708
McIntosh County,Oklahoma,2017-1-4-0-0,16613189,-89,-8,4.11,1.73,6.79,19.5,494327,4.26,2.43,4.82,476373,15158,1649,4473
Major County,Oklahoma,2017-1-4-0-0,75770141,-70,-15,0.6,3.19,2.77,4.6,684186,4.89,4.29,4.05,683140,8606,13272,2090
Marshall County,Oklahoma,2017-1-4-0-0,72550695,-100,-13,3.05,3.61,8.29,0.6,372338,0.09,1.13,1.58,197602,30764,48515,256
Mayes County,Oklahoma,2017-1-4-0-0,48841894,-95,-6,2.76,3.41,8.39,14.7,544868,0.22,4.16,1.58,971289,27961,7910,526
Murray County,Oklahoma,2017-1-4-0-0,71898229,-73,-13,4.96,1.09,2.81,9.6,350292,3.27,0.32,9.22,793999,46892,7109,355
Muskogee County,Oklahoma,2017-1-4-0-0,87702703,-118,-14,2.05,0.57,10.43,14.2,156480,5.04,1.52,0.25,890629,10993,12595,2316
Noble County,Oklahoma,2017-1-4-0-0,63433328,-80,-13,3.67,4.12,2.46,9.9,545950,1.96,0.39,11.51,723082,38699,39128,2843
Nowata County,Oklahoma,2017-1-4-0-0,97270703,-108,-15,2.91,3.77,2.45,14.8,783234,0.92,1.7,5.87,185812,8943,19039,2961
Okfuskee County,Oklahoma,2017-1-4-0-0,23588039,-95,-14,4.6,1.75,10.79,16,434094,0.43,0.35,3.67,591980,7539,33078,803
Oklahoma County,Oklahoma,2017-1-4-0-0,22209698,-120,-9,5.19,2.49,9.28,16.8,136656,3.84,1.64,9.97,117582,47848,42791,3773
Okmulgee County,Oklahoma,2017-1-4-0-0,75206553,-92,-16,4.19,2.22,5.72,2.1,320245,3.24,5.15,7.16,664645,27403,12284,3841
Osage County,Oklahoma,2017-1-4-0-0,99421750,-73,-8,2.68,2.97,5.48,6.7,934224,4.98,3.63,10.84,511416,32206,46863,3883
Ottawa County,Oklahoma,2017-1-4-0-0,62876346,-74,-9,4.26,3.9,5.1,13.2,213432,2.12,2.86,9.69,674158,46003,13382,1243
Pawnee County,Oklahoma,2017-1-4-0-0,59703376,-118,-16,2.02,3.16,6.01,2.3,931564,2.9,5.13,5.34,507370,44054,18085,3625
Payne County,Oklahoma,2017-1-4-0-0,66405222,-93,-8,3.99,5.15,9.76,18.5,230112,1.72,3.01,9.38,169317,40388,32189,3773
Pittsburg County,Oklahoma,2017-1-4-0-0,88732997,-77,-12,0.88,5.5,4.39,6.7,569074,1.14,4.88,2.02,523237,1974,30354,4688
Pontotoc County,Oklahoma,2017-1-4-0-0,79383570,-97,-8,3,4.54,10.01,1,973109,0.98,5,9.13,840208,17516,26622,1379
Pottawatomie County,Oklahoma,2017-1-4-0-0,8920829,-72,-7,5.17,3.65,6.32,16.8,369659,1.02,3.88,5.95,382928,6568,28845,2014
Pushmataha County,Oklahoma,2017-1-4-0-0,75960406,-103,-9,2.31,2.09,2.95,12.5,173977,2.72,4.9,7.08,801238,31671,30921,1025
Roger Mills County,Oklahoma,2017-1-4-0-0,13919357,-61,-6,2.46,4.32,8.81,15.3,400085,0.55,3.04,0.98,452733,2880,13038,4840
Rogers County,Oklahoma,2017-1-4-0-0,18279199,-98,-9,4.87,1.37,3,2.6,735214,3.87,3.83,11.57,258501,7687,42030,4576
Seminole County,Oklahoma,2017-1-4-0-0,82860241,-113,-9,5.5,2.85,11,8.7,289610,2.88,2.48,7.07,833074,24889,2249,2384
Sequoyah County,Oklahoma,2017-1-4-0-0,56210145,-119,-9,4.86,1.86,8.05,8.4,576734,5.49,3.12,0.8,668598,13375,4302,2191
Stephens County,Oklahoma,2017-1-4-0-0,35922870,-86,-7,2.99,5.21,11.73,2.9,909059,2.66,5.22,5.86,542938,40822,24701,1979
Texas County,Oklahoma,2017-1-4-0-0,69537196,-109,-8,1.47,1.95,2.91,4,718747,2.02,0.77,8.6,537235,21184,29743,4257
Tillman County,Oklahoma,2017-1-4-0-0,9811302,-71,-13,3.82,3.48,5.13,5,167870,4.94,1.12,8.49,113445,49916,43830,2395
Tulsa County,Oklahoma,2017-1-4-0-0,74810120,-69,-6,4.06,3.21,7.47,12.5,806734,2.08,3.24,6.12,368262,26077,25092,4737
Wagoner County,Oklahoma,2017-1-4-0-0,32966977,-103,-15,4.66,4.34,6.47,7.6,781299,2.1,0.95,2.34,993858,27117,34318,4561
Washington County,Oklahoma,2017-1-4-0-0,70524228,-114,-10,0.18,5.48,4.67,11.1,750903,3.05,2.03,0.26,354276,27296,8899,172
Washita County,Oklahoma,2017-1-4-0-0,76165215,-88,-16,1.17,2.18,0.06,3.7,838565,1.05,3.93,0.76,178664,17354,3026,3868
Woods County,Oklahoma,2017-1-4-0-0,67929600,-95,-14,2.26,1.22,2.32,12.1,247765,4.13,0.14,10.4,937633,32636,43088,4826
Woodward County,Oklahoma,2017-1-4-0-0,74745418,-105,-14,5.06,5.34,5.25,9.3,991005,2.44,2.87,3.93,287916,25392,29160,2339
Baker County,Oregon,2017-1-4-0-0,93020088,-68,-12,3.61,5.12,8.78,3.9,189746,0.76,0.5,7.85,371106,24756,3776,2253
Benton County,Oregon,2017-1-4-0-0,50888747,-110,-8,2.59,3.56,8.67,15.4,989064,0.15,1.33,8.43,297851,39370,36065,3602
Clackamas County,Oregon,2017-1-4-0-0,17353817,-88,-6,0.89,1.38,8.57,3.9,541920,4.11,1.91,8.5,541414,22948,29400,4243
Clatsop County,Oregon,2017-1-4-0-0,53219658,-93,-13,3.3,0.36,0.87,11.5,977983,3.31,2.29,4.41,180635,32002,39553,2319
Columbia County,Oregon,2017-1-4-0-0,31662143,-115,-6,3.82,2.02,0.92,6.8,781373,3.28,1.87,11.06,364773,2943,10950,3850
Coos County,Oregon,2017-1-4-0-0,93744175,-64,-8,2.73,4.19,6.6,3.5,645912,3.29,2.34,10.73,286537,26000,48909,4329
Crook County,Oregon,2017-1-4-0-0,52753674,-69,-7,0.58,5.33,9.59,3.9,240852,5.07,3.48,0.23,724396,8623,41255,4824
Curry County,Oregon,2017-1-4-0-0,99369397,-78,-11,1.35,3.56,2.24,8.4,188024,2.91,4.25,10.92,756208,42076,40585,31
Deschutes County,Oregon,2017-1-4-0-0,11043254,-118,-9,0.2,2.27,5.69,10.3,553884,1.88,4.5,1.84,820719,32730,26129,1472
Douglas County,Oregon,2017-1-4-0-0,68204630,-73,-13,1.18,2.95,1.12,11.4,877889,2.19,3.87,4.17,399100,39118,29188,3189
Gilliam County,Oregon,2017-1-4-0-0,17970553,-105,-16,3.11,5.22,6.85,19.4,426903,0.32,1.05,3.95,631345,21411,34250,3920
Grant County,Oregon,2017-1-4-0-0,58446084,-68,-16,3.1,4.5,1.87,14.2,117241,2.8,3.74,11.63,579514,22490,41479,2051
Harney County,Oregon,2017-1-4-0-0,29746267,-60,-12,0.15,1.09,8.23,7.4,705551,3.9,5.08,1.31,198039,43141,14693,4762
Hood River County,Oregon,2017-1-4-0-0,39652372,-83,-12,4.27,1.69,2.74,10.4,559189,4.83,1.94,6.83,493965,7462,38794,2707
Jackson County,Oregon,2017-1-4-0-0,28416809,-84,-7,2.67,0.4,10.48,4.8,116344,4.41,3.36,9.55,524568,29564,29495,1697
Jefferson County,Oregon,2017-1-4-0-0,61007775,-71,-6,3.85,0.75,5.53,5.7,155763,2.33,4.45,3.08,681720,26655,11973,525
Josephine County,Oregon,2017-1-4-0-0,42861479,-101,-15,1.9,2.78,1.89,12.1,753040,4.39,3,6.1,192365,12440,37919,1047
Klamath County,Oregon,2017-1-4-0-0,93271221,-100,-9,2.68,1.59,3.59,7.1,538550,5.43,0.62,11.77,981246,8014,29680,3232
Lake County,Oregon,2017-1-4-0-0,94765609,-79,-7,1.89,1.13,7.97,3.6,472348,1.68,1.99,6.18,515931,14888,22652,890
Lane County,Oregon,2017-1-4-0-0,89539517,-63,-9,1.88,2.69,8.26,15.3,738232,4.35,1.71,6.29,760497,20612,21244,84
Lincoln County,Oregon,2017-1-4-0-0,75724101,-90,-10,0.82,0.53,9.75,18.7,213066,1.42,1.58,6.07,761257,35078,30218,105
Linn County,Oregon,2017-1-4-0-0,11003483,-92,-13,1.61,5.26,3.9,14,556533,1.08,2.76,1.65,884215,43983,48958,2183
Malheur County,Oregon,2017-1-4-0-0,62288994,-93,-9,3.2,1.11,6.19,15.6,832097,4.7,4.37,11.83,257444,7519,22257,659
Marion County,Oregon,2017-1-4-0-0,70595961,-81,-13,4.2,1.65,1.51,12.7,660766,1.94,4.94,4.1,677868,20613,13552,1599
Morrow County,Oregon,2017-1-4-0-0,45109747,-67,-9,0.12,2.19,10.75,3.7,656149,0.21,4.92,10.85,989923,30356,8722,1910
Multnomah County,Oregon,2017-1-4-0-0,42536726,-68,-6,4.24,1.94,10.31,3.3,595000,0.8,5.35,8.13,424693,26214,37074,2832
Polk County,Oregon,2017-1-4-0-0,60813425,-69,-9,1.23,3.14,11.99,6.2,102652,2.82,1.72,10.44,609849,30132,20999,3121
Sherman County,Oregon,2017-1-4-0-0,51042161,-81,-11,1.16,0.97,11.24,2.6,938269,5.5,2.8,6.51,568051,29594,22600,1941
Tillamook County,Oregon,2017-1-4-0-0,2116119,-77,-14,0.26,0.26,5.04,3.7,661990,1.24,4.77,1.76,445062,42828,8699,2426
Umatilla County,Oregon,2017-1-4-0-0,97134101,-76,-9,0.14,4.91,0.55,18.4,288108,0.36,2.5,10.39,175519,18369,33940,4137
Union County,Oregon,2017-1-4-0-0,53053323,-114,-9,3.25,0.87,9.87,8.4,384357,3.55,0.52,1.9,918224,14743,31352,576
Wallowa County,Oregon,2017-1-4-0-0,65835157,-119,-15,3.07,2.4,8.47,0.6,692746,2.92,1.19,6.36,550600,28372,14560,1235
Wasco County,Oregon,2017-1-4-0-0,26883649,-102,-15,0.54,3.09,7.25,15.5,121848,4.02,5.43,10.21,716155,13192,6542,4479
Washington County,Oregon,2017-1-4-0-0,87024022,-120,-12,3.67,2.03,3.22,18.5,399532,2.47,1.02,10.54,436220,37678,25598,2567
Wheeler County,Oregon,2017-1-4-0-0,58215937,-101,-15,5.23,3.96,9.1,11.4,368860,4.05,2.32,11.66,836668,29935,12525,2578
Yamhill County,Oregon,2017-1-4-0-0,4909363,-111,-6,5.48,1.17,0.16,14.4,943496,0.13,4.84,3.78,190291,25351,8872,90
Adams County,Pennsylvania,2017-1-4-0-0,67839265,-96,-8,5.34,3.27,10.25,11,899458,1.99,2.85,4.32,395547,1375,15396,4744
Allegheny County,Pennsylvania,2017-1-4-0-0,48393844,-63,-16,3.27,3.64,7.49,17.7,478654,4.95,5.19,11.89,422999,34727,13984,1709
Armstrong County,Pennsylvania,2017-1-4-0-0,65640429,-85,-15,4.91,0.61,9.88,11.3,181947,1.29,4.83,7.62,339997,12914,30670,98
Beaver County,Pennsylvania,2017-1-4-0-0,49615815,-64,-12,4.33,1.01,8.93,18.8,420948,3.02,5.12,4.53,743360,43434,40546,1916
Bedford County,Pennsylvania,2017-1-4-0-0,52819068,-64,-16,1.16,4.85,2.96,18,188347,3.58,3.64,7.83,693199,17210,17993,638
Berks County,Pennsylvania,2017-1-4-0-0,36770401,-101,-13,3.75,4.59,9.24,4.4,889449,4.75,4.09,6.85,814521,31226,3424,188
Blair County,Pennsylvania,2017-1-4-0-0,47562341,-81,-11,5.11,3.51,4.65,10.3,643664,1.52,4.08,5.13,211870,45663,40009,2583
Bradford County,Pennsylvania,2017-1-4-0-0,81134733,-99,-16,4.47,4.88,1.61,19.6,539331,2,4.86,0.4,667741,47331,21497,3224
Bucks County,Pennsylvania,2017-1-4-0-0,65732624,-106,-16,4.38,4.33,8.47,18.9,354906,0.4,0.26,3.79,875414,17530,32507,2893
Butler County,Pennsylvania,2017-1-4-0-0,45894008,-91,-6,3.21,4,6.61,12.3,820558,0.24,4.98,3.32,172787,34829,28424,4239
Cambria County,Pennsylvania,2017-1-4-0-0,89728639,-116,-16,2.02,4.41,11.84,11.8,976406,3.57,0.7,7.5,483905,30697,10902,375
Cameron County,Pennsylvania,2017-1-4-0-0,33323867,-80,-14,0.5,3.79,4.38,1.4,217148,5.22,0.27,8.32,276778,37276,23048,4288
Carbon County,Pennsylvania,2017-1-4-0-0,94961365,-98,-7,5.37,1.88,4.56,11.6,781121,2.53,2.01,10.78,437669,32897,27505,3646
Centre County,Pennsylvania,2017-1-4-0-0,42487199,-105,-14,0.82,0.16,1.99,19.2,696460,3.91,3.12,6.91,995902,47384,22778,4576
Chester County,Pennsylvania,2017-1-4-0-0,2223337,-115,-13,1.84,2.28,3.15,17.8,773783,2.73,4.84,2.96,225638,45403,12093,23
Clarion County,Pennsylvania,2017-1-4-0-0,64676281,-65,-7,2.19,0.38,7.5,18.9,768428,4.53,3.96,11.01,937469,35594,24397,4891
Clearfield County,Pennsylvania,2017-1-4-0-0,96047618,-65,-6,0.54,5.1,7.69,13.5,923071,0.27,2.72,0.16,313744,25905,23067,1937
Clinton County,Pennsylvania,2017-1-4-0-0,12297156,-85,-16,4.75,4,0.65,3,869860,0.17,2.9,5.51,799486,24253,28276,4429
Columbia County,Pennsylvania,2017-1-4-0-0,95426078,-114,-8,2.88,5.39,9.58,12.6,653331,1.11,4.44,9.09,275837,1295,1151,4238
Crawford County,Pennsylvania,2017-1-4-0-0,7409474,-93,-8,3.49,3.56,6.7,17.8,703576,4.49,3.05,9.11,461467,28065,9716,2147
Cumberland County,Pennsylvania,2017-1-4-0-0,57124884,-71,-13,2.03,0.91,2.53,13.5,949450,5.13,0.63,11.17,189652,10941,3147,1444
Dauphin County,Pennsylvania,2017-1-4-0-0,5970750,-68,-7,3.06,1.57,6.66,10,557404,1.23,0.24,3.81,614377,1399,37344,2124
Delaware County,Pennsylvania,2017-1-4-0-0,40162674,-60,-12,2.83,5.39,9.07,6.6,528692,2.54,1.09,3.11,184448,16649,2381,905
Elk County,Pennsylvania,2017-1-4-0-0,60915464,-89,-11,4.03,1.91,2.32,2.2,238618,4.48,2.97,9.73,129429,24968,2806,1755
Erie County,Pennsylvania,2017-1-4-0-0,82925638,-85,-15,3.68,5.42,3.66,9.3,742963,0.6,3.52,11.93,226977,24109,45881,1464
Fayette County,Pennsylvania,2017-1-4-0-0,72177670,-112,-14,5.26,0.61,3.3,18.7,484326,5.06,0.76,1.37,610380,11060,33825,2920
Forest County,Pennsylvania,2017-1-4-0-0,52090109,-91,-14,4.73,3.19,8.12,10.4,707705,2.19,2.05,7.49,924557,16413,10558,3829
Franklin County,Pennsylvania,2017-1-4-0-0,39636687,-92,-15,2.51,3.64,2.14,7.1,121412,0.78,0.57,1.98,886556,37877,24989,2344
Fulton County,Pennsylvania,2017-1-4-0-0,13904270,-111,-8,3.05,3.42,7.27,12.6,316440,1.55,3.14,10.53,483974,24539,20571,3656
Greene County,Pennsylvania,2017-1-4-0-0,85374459,-104,-15,3.42,1.18,3.42,3.3,337498,0.85,0.92,0.05,936822,1201,30729,2814
Huntingdon County,Pennsylvania,2017-1-4-0-0,33654880,-65,-16,4.92,3.93,2.03,14.8,715355,0.61,3.44,3.73,945876,12479,29977,1992
Indiana County,Pennsylvania,2017-1-4-0-0,22016837,-118,-10,2.64,4.03,0.67,4.2,450468,4.87,1.33,6.61,903368,33018,19336,566
Jefferson County,Pennsylvania,2017-1-4-0-0,2865210,-119,-13,0.13,4.13,6.94,1,714115,3.74,2.24,3.05,253553,14062,11576,3377
Juniata County,Pennsylvania,2017-1-4-0-0,89741473,-100,-8,1.84,4.14,4.35,8.6,764401,3.53,1.95,8.81,541886,47465,44065,4520
Lackawanna County,Pennsylvania,2017-1-4-0-0,13542700,-100,-10,1.83,0.15,1.17,19.1,257086,2.76,3.9,2.27,345948,44804,33861,1035
Lancaster County,Pennsylvania,2017-1-4-0-0,94479014,-65,-14,4.92,3.33,11.26,15,194518,4.61,3.59,11.25,952015,35815,12725,3847
Lawrence County,Pennsylvania,2017-1-4-0-0,39101734,-112,-13,0.2,4.13,10.99,1.9,850033,1.95,4.82,0.11,227847,44955,32869,3625
Lebanon County,Pennsylvania,2017-1-4-0-0,31286443,-84,-12,2.83,1.86,4.89,13.9,169959,2.06,3.95,0.29,933189,5669,30659,4027
Lehigh County,Pennsylvania,2017-1-4-0-0,39292253,-63,-15,5.21,5.06,3.37,13.2,291491,0.9,4.38,2.78,349594,1521,45413,3161
Luzerne County,Pennsylvania,2017-1-4-0-0,2331198,-120,-15,0.73,1.2,0.49,1.9,970576,2.53,2.06,3.54,590362,30010,6294,3762
Lycoming County,Pennsylvania,2017-1-4-0-0,33785857,-106,-9,0.79,3.67,11.04,7.8,929622,4.93,3.12,9.07,169559,43247,29781,2122
McKean County,Pennsylvania,2017-1-4-0-0,28247594,-115,-13,5.01,3.27,2.02,5.7,864055,3.55,3.49,3,823847,2508,16277,4398
Mercer County,Pennsylvania,2017-1-4-0-0,87138253,-62,-16,0.78,4.65,3.78,5.2,359936,2.59,2.44,9.77,799141,35568,5863,4134
