2015-1,Operator,MCC/MNC,TIME,Coverage RSRP,Quality RSRQ,VoLTE Drop Call (%),VoLTE Block Call (%),VoLTE Setup Failure (%),VoLTE Setup Time (sec),VoLTE Holding Time (min),Data Drop Call (%),Data Block Call (%),Data Setup Failure (%),Data DL Volume (MB),Data UL Volume (MB),Data DL Throughput (kbps),Data UL Throughput (kbps)
United Kingdom,Everything Everywhere,234/30,19-Sep,-79.38,-6.5,0.33,0.32,0.91,0.97,0.54,0.03,0.97,0.96,542345,3858,40818,6711
United Kingdom,Telefonica O2 (CellNet),234/10,19-Sep,-86.41,-7.01,0.86,0.87,0.58,0.13,0.38,0.6,0.77,0.57,603989,3184,91222,4014
United Kingdom,Everything Everywhere (ex-Orange),234/33,19-Sep,-129.83,-13.96,0.44,0.91,0.09,0.47,0.38,0.14,0.34,0.84,208064,8565,77817,5618
Unted States,AT&T,310/410,19-Sep,-75.04,-14.61,0.4,0.71,0.99,0.98,0.11,0.45,0.68,0.59,759378,8684,48113,7660
Unted States,Guamcell Cellular and Paging,310/370,19-Sep,-106.5,-13.98,0.95,0.2,0.74,0.73,0.19,0.99,0.34,0.99,477546,1594,54936,6980
Unted States,T-Mobile,310/260,19-Sep,-111.62,-14.46,0.07,0.57,0.07,0.3,0.91,0.54,0.37,0.49,325467,1993,29796,8956
Unted States,Verizon Wireless,311/48,19-Sep,-147.74,-8.22,0.57,0.3,0.91,0.53,0.58,0.88,0.44,0.44,888033,8931,90654,4515
Albania,Vodafone(ALBANIA),276/02,20-Sep,-90.95,-6.78,0.6,0.92,0.14,0.44,0.02,0.49,0.54,0.32,857224,7561,83612,9941
Australia,Vodafone Hutchison,505/03,20-Sep,-96.41,-14.84,0.63,0.3,0.31,0.19,0.39,0.96,0.35,0.04,148177,2828,18438,2061
Australia,Optus,505/02,20-Sep,-148.9,-11.44,0.63,0.29,0.46,0.91,0.67,0.96,0.39,0.74,849075,5313,38569,3297
Australia,Telstra,505/01,20-Sep,-97.55,-11.57,0.82,0.35,0.25,0.93,0.61,0.73,0.77,0.14,514567,3048,80658,5180
Austria,A1 Austria Telekom (Mobilkom),232/01,20-Sep,-84.74,-11.89,0.88,0.91,0.8,0.85,0.85,0.1,0.94,0.89,459726,7510,56253,8477
Austria,H3G(AUSTRIA),232/10,20-Sep,-119.68,-6.27,0.34,0.83,0.92,0.27,0.77,0.74,0.74,0.78,590378,7198,80514,4672
Bahrain,Viva,426/04,20-Sep,-155.05,-14.93,0.15,0.56,0.78,0.33,0.46,0.9,0.18,0.47,624753,7526,38467,9273
Bahrain,Batelco,426/01,20-Sep,-128.89,-8.15,0.65,0.74,0.13,0.77,0.23,0.77,0.39,0.97,796474,5588,22078,7331
Bahrain,Zain/Vodafone/MTC,426/02,20-Sep,-94.82,-10.26,0.31,0.38,0.14,0.6,0.89,0.38,0.89,0.82,603809,4815,69971,8491
Belgium,"Base (KPN,Orange)",206/20,20-Sep,-98.15,-8.39,0.64,0.59,0.92,0.7,0.05,0.42,0.64,0.13,471444,8470,67783,1368
Belgium,Mobistar S.A.,206/10,20-Sep,-133.43,-13.17,0.74,0.44,0.9,0.47,0.22,0.59,0.66,0.39,910582,3973,20107,1231
Belgium,Belgacom Mobile,206/01,20-Sep,-146.55,-8.05,0.26,0.5,0.05,0.96,0.08,0.2,0.83,0.88,722053,6330,46434,3904
Brazil,Vivo S.A,724/10,20-Sep,-147.69,-8.27,0.82,0.38,0.1,0.29,0.14,0.06,0.15,0.53,779195,2863,91844,9628
Brazil,TIM,724/04,20-Sep,-101.91,-11.32,0.16,0.55,0.14,0.01,0.86,0.06,0.76,0.82,229027,5536,91592,3377
Bulgaria,Mobiltel,284/01,20-Sep,-124.02,-8.02,0.18,0.67,0.37,0.64,0.98,0.56,0.53,0.47,299025,2803,52128,7018
Canada,Bell Mobility,302/610,20-Sep,-115,-10.53,0.91,0.46,0.9,0.87,0.29,0.6,0.66,0.08,501942,9236,16701,3427
Canada,Telus Mobility,302/220,20-Sep,-71.62,-13.08,0.85,0.42,0.29,0.03,0.32,0.27,0.89,0.37,403625,3005,98153,3162
China,China Mobile,460/07,20-Sep,-146.38,-6.72,0.83,0.4,0.14,0.41,0.67,0.37,0.36,0.61,612242,5065,31885,7952
China,China Unicom,460/01,20-Sep,-117.02,-14.57,0.19,0.88,0.32,0.3,0.82,0.36,0.73,0.58,591159,6171,33290,7867
China,China Mobile,460/02,20-Sep,-119.12,-7.81,0.47,0.01,0.26,0.48,0.65,0.81,0.01,0.19,173784,8569,84897,4783
China,China Mobile,460/00,20-Sep,-109.37,-9.92,0.94,0.52,0.9,0.09,0.43,0.48,0.52,0.93,501959,4742,26439,7174
Croatia,Croatian Telecom (ex T- Mobile),219/01,20-Sep,-100.21,-8.57,0.2,0.42,0.45,0.8,0.61,0.14,0.99,0.91,804487,7115,29682,4367
Croatia,VIP-net,219/10,20-Sep,-79.58,-6.89,0.03,0.36,0.44,0.5,0.76,0.49,0.98,0.41,213704,1963,78191,9723
Czech Republic,Telefonica O2 (Eurotel),230/02,20-Sep,-71.8,-11.34,0.88,0.16,0.97,0.77,0.61,0.86,0.77,0.36,356924,9153,55486,4385
Denmark,Telenor (Sonofon),238/02,20-Sep,-72.65,-10.84,0.77,0.19,0.31,0.31,0.77,0.75,0.51,0.13,905435,7966,46311,2234
Dominica Rep.,"Orange Dominicana, S.A.",370/01,20-Sep,-81.69,-13.02,0.49,0.54,0.88,0.19,0.43,0.44,0.09,0.9,723547,4955,38487,2666
Egypt,Vodafone(EGYPT),602/02,20-Sep,-106.64,-6.47,0.81,0.93,0.81,0.58,0.79,0.24,0.04,0.82,492117,1634,17381,3770
Egypt,Etisalat Misr,602/03,20-Sep,-90.8,-13.63,0.3,0.83,0.23,0.25,0.89,0.72,0.16,0.66,969513,7843,67553,2790
Estonia,Tele2(ESTONIA),248/03,20-Sep,-156.85,-11.57,0.82,0.33,0.91,0.01,0.93,0.97,0.82,0.11,793979,5479,74047,7380
France,SFR (Cegetel),208/10,20-Sep,-94.1,-10.31,0.84,0.88,0.12,0.38,0.35,0.15,0.09,0.83,864994,4349,87780,6590
France,Orange (Iteneris),208/01,20-Sep,-98.34,-9.06,0.21,0.51,0.97,0.73,0.57,0.12,0.42,0.44,805458,7025,53839,6286
France,Free Mobile,208/15,20-Sep,-142.72,-10.01,0.95,0.83,0.85,0.07,0.29,0.62,0.86,0.94,147661,4995,51739,6398
France,Bouygues,208/20,20-Sep,-113.78,-12.11,0.64,0.48,0.52,0.17,0.56,0.21,0.03,0.16,402934,4949,45048,9553
Germany,Telekom Deutschland (T-Mobile),262/01,20-Sep,-98.83,-11.08,0.52,0.04,0.2,0.24,0.51,0.22,0.27,0.64,180113,1789,55847,8707
Germany,Vodafone(GERMANY),262/02,20-Sep,-82.01,-8.53,1,0.97,0.73,0.02,0.64,0.78,0.02,0.12,727789,6487,21995,4061
Germany,Telefonica O2/viag,262/07,20-Sep,-119.76,-12.11,0.42,0.74,0.84,0.42,0.27,0.94,0.39,0.44,844089,2776,66954,2411
Germany,E-Plus,262/03,20-Sep,-110.33,-8.62,0.49,0.61,0.88,0.57,0.46,0.56,0.54,0.61,616766,3990,39177,3983
Hongkong,China Mobile - Peoples,454/12,20-Sep,-70.39,-11.43,0.76,0.83,0.55,0.11,0.83,0.19,0.7,0.25,574133,6619,82546,1861
Hongkong,H3G(HONG KONG),454/03,20-Sep,-126.15,-12.65,0.66,0.58,0.04,0.3,0.04,0.92,0.16,0.44,833996,7031,53535,5438
Hongkong,PCCW-HKT Telephone Limited,454/19,20-Sep,-111.87,-9.43,0.02,0.31,0.17,0.36,0.57,0.98,0.8,0.01,711230,4903,11881,8023
Hongkong,SmarTone - Vodafone,454/06,20-Sep,-157.34,-8.54,0.44,0.78,0.82,0.37,0.7,0.76,0.14,0.82,608930,1365,20752,4163
Hongkong,CSL (C&W),454/00,20-Sep,-94.3,-9.02,0.37,0.52,0.6,0.85,0.34,0.4,0.5,0.46,393127,9533,88271,3068
Hungary,Vodafone(HUNGARY),216/70,20-Sep,-96.43,-9.23,0.62,0.95,0.23,0.79,0.59,0.7,0.21,0.26,313135,9008,99904,2535
Hungary,T-Mobile(HUNGARY),216/30,20-Sep,-118.67,-9.1,0.5,0.86,0.05,0.3,0.07,0.08,0.53,0.3,972844,4095,95997,7056
India,Airtel (Karnataka),404/45,20-Sep,-61.58,-9.49,0.37,0.13,0.34,0.52,0.66,0.49,0.14,0.98,698254,9080,91501,9142
India,Airtel (Delhi),404/10,20-Sep,-104.89,-13.17,0.26,0.85,0.5,0.72,0.92,0.06,0.22,0.96,779978,3916,43626,9170
Indonesia,Indosat (IDNSL),510/01,20-Sep,-69.51,-14.89,0.32,0.47,0.85,0.81,0.46,0.55,0.75,0.37,746190,4740,73001,1031
Ireland,Vodafone(IRELAND),272/01,20-Sep,-98.46,-7,0.74,0.74,0.89,0.85,0.68,0.8,0.81,0.85,430080,9574,23961,2987
Ireland,Meteor,272/03,20-Sep,-144.33,-10.83,0.17,0.26,0.79,0.96,0.54,0.13,1,0.12,891576,7992,93499,6096
Ireland,Telefonica O2 (East DigiFone),272/02,20-Sep,-68.22,-9.35,0.99,0.95,0.48,0.1,0.14,0.66,0.89,0.42,803174,9067,13383,8466
Italy,Vodafone Omnitel,222/10,20-Sep,-65.68,-10.83,0.8,0.7,0.05,0.64,0.32,0.22,0.47,0.36,548155,8235,56876,7642
Italy,Wind,222/88,20-Sep,-138.61,-8.6,0.46,0.46,0.64,0.12,0.71,0.29,0.81,0.05,525644,1697,28213,4646
Japan,KDDI Corporation,440/51,20-Sep,-94.57,-8.78,0.28,0.7,0.09,0.73,0.94,0.63,0.67,0.01,337732,8795,60654,6635
Japan,Soft Bank (Vodafone KK),440/20,20-Sep,-143.39,-10.34,0.4,0.18,0.81,0.64,0.06,0.93,0.79,0.87,732589,6529,24409,7178
Japan,KDDI,440/50,20-Sep,-142.88,-12.43,0.24,0.03,0.39,0.13,0.64,0.22,0.17,1,386163,7029,83068,9009
Japan,NTT Docomo,440/10,20-Sep,-123.67,-14.58,0.37,0.68,0.23,0.28,0.12,0.43,0.81,0.78,284733,3347,50466,7983
Jordan,Zain (Fastlink),416/01,20-Sep,-156.32,-8.34,0.4,0.6,0.4,0.11,0.34,0.58,0.23,0.15,815651,8486,59548,6066
Jordan,Orange (MobileCom),416/77,20-Sep,-97.24,-7.52,0.48,0.36,0.65,0.22,0.16,0.81,0.99,0.97,449481,3696,52295,2617
Kazakhstan ,K-Cell,401/02,20-Sep,-65.7,-8.39,0.95,0.21,0.7,0.16,0.53,0.03,0.04,0.51,530239,8105,85571,7220
Kuwait,MTC/Zain,419/02,20-Sep,-155.13,-12.62,0.42,0.32,0.57,0.36,0.28,0.68,0.23,0.87,480287,9192,17053,6025
Kuwait,Viva (KTC),419/04,20-Sep,-67.62,-10.47,0.65,0.06,0.11,0.25,0.28,0.04,0.01,0.79,628012,9100,28037,8188
Lebanon,MTC (MIC 2 Touch),415/03,20-Sep,-104.78,-12.48,0.1,0.16,0.18,1,0.94,0.38,0.29,0.34,157236,4966,64470,2184
Luxembourg,Tango,270/77,20-Sep,-84.21,-9.78,0.73,0.97,0.88,0.54,0.09,0.07,0.28,0.02,579033,9956,67768,5716
Macao,CTM,455/01,20-Sep,-138.07,-13.75,0.9,0.15,0.65,0.18,0.09,0.71,0.75,0.41,822580,6136,41824,1234
Macao,Hutchison 3,455/03,20-Sep,-139.55,-12.05,0.43,0.19,0.67,0.35,0.14,0.35,0.57,0.11,587515,5296,23678,8863
Malaysia,Celcom,502/19,20-Sep,-100.19,-14.16,0.99,0.22,0.4,0.33,0.8,0.23,0.39,0.23,739577,5368,90999,4950
Malaysia,DiGi  Telecommunication,502/16,20-Sep,-61.48,-13.4,0.94,0.18,0.86,0.01,0.01,0.95,0.28,0.52,986916,9345,30915,5409
Malaysia,Maxis,502/12,20-Sep,-64.02,-9.76,0.63,0.3,0.72,0.19,0.58,0.08,0.51,0.6,405498,3981,35762,7263
Malta,Vodafone(MALTA),278/01,20-Sep,-140.59,-6.57,0.98,0.87,0.22,0.73,0.14,0.72,0.06,0.53,542979,4143,71573,2565
Mauritius,Cellplus Orange,617/01,20-Sep,-98.05,-9.52,0.69,0.39,0.1,0.55,0.42,0.4,0.87,0.95,295286,9341,76500,5106
Netherlands,Vodafone(NETHERLANDS),204/04,20-Sep,-130.02,-7.22,0.21,0.36,0.05,0.81,0.66,0.48,0.68,0.94,269018,4101,28799,4651
Netherlands,T-mobile (ex Ben),204/16,20-Sep,-129.57,-6.78,0.98,0.47,0.9,0.09,0.03,0.13,1,0.96,146215,6825,75123,6187
New Zealand,Vodafone(NEW ZEALAND),530/01,20-Sep,-143.91,-12.48,0.83,0.97,0.58,0.48,0.05,0.96,0.64,0.74,988478,1799,83243,7359
Nigeria,EMTS,621/60,20-Sep,-146.79,-13.31,0.2,0.03,0.95,0.21,0.83,0.07,0.12,0.81,786757,7589,35883,4613
Norway,Telenor Mobile,242/01,20-Sep,-82.95,-8.51,0.8,0.24,0.37,0.79,0.33,0.28,0.77,0.66,112795,8333,97531,7569
Norway,NetCom TeliaSonera,242/02,20-Sep,-75.85,-10.05,0.95,0.99,0.53,0.37,0.6,0.72,0.48,0.96,618157,5789,48300,4680
Oman,Nawras,422/03,20-Sep,-102.39,-14.79,0.58,0.26,0.58,0.98,0.19,0.97,0.73,0.6,591168,7159,12668,5448
Oman,Oman Mobile - GTO (Omantel),422/02,20-Sep,-78.99,-10.18,0.24,0.93,0.23,0.29,0.19,0.65,0.43,0.48,987084,8300,27854,1551
Philippines,Smart,515/03,20-Sep,-77.34,-9.82,0.33,0.08,0.31,0.3,0.1,0.4,0.12,0.33,452555,8118,75817,3864
Poland,"T-Mobile (ERA,PTC)",260/02,20-Sep,-120.56,-12.2,0.78,0.43,0.99,0.24,0.66,0.51,0.24,0.08,615618,1826,49998,3420
Poland,Orange/Centertel,260/03,20-Sep,-80.31,-6.86,0.56,0.25,0.28,0.51,0.46,0.9,0.84,0.44,854716,8977,52682,7464
Portugal,Vodafone(PORTUGAL),268/01,20-Sep,-129.4,-8.47,0.35,0.7,0.27,0.62,0.13,0.34,0.55,0.73,425450,3045,22300,9431
Portugal,Optimus (Sonecom),268/03,20-Sep,-86.03,-12.68,0.07,0.25,0.45,0.2,0.7,0.73,0.49,0.23,538317,3697,83196,2729
Qatar,Vodafone(QATAR),427/02,20-Sep,-97.49,-12.89,0.11,0.4,1,0.79,0.67,0.09,0.73,0.88,812953,2930,81837,4935
Qatar,Q-Tel,427/01,20-Sep,-154.33,-14.15,0.69,0.75,0.73,0.31,0.24,0.12,0.58,0.68,225321,7690,31918,1750
Romania,Orange (Mobilrom),226/10,20-Sep,-134.13,-13.06,0.42,0.47,0.81,0.55,0.88,0.05,0.35,0.32,597141,6075,69575,3199
Russia,MTS(RUSSIA),250/01,20-Sep,-111.78,-9.81,0.93,0.43,0.81,0.02,0.11,0.14,0.32,0.13,992538,2925,91672,3956
Russia,MegaFon,250/02,20-Sep,-71.2,-9.17,0.71,0.6,0.27,0.72,0.45,0.14,0.62,0.71,660005,8955,86785,4062
Russia,Vimpelcom Beeline (KB Impuls),250/99,20-Sep,-71.12,-9.93,0.17,0.23,0.54,0.42,0.53,0.59,0.69,0.72,846836,1624,38943,7013
Saudi Arabia,Saudi Telecom Company,420/01,20-Sep,-149.86,-12.31,0.7,0.23,0.85,0.31,0.43,0.05,0.2,0.7,470185,9674,61512,6312
Saudi Arabia,Mobily,420/03,20-Sep,-76.73,-9.08,0.65,0.44,0.92,0.71,0.56,0.54,0.15,0.48,142651,2868,32634,8854
SERBIA,Telenor Serbia,220/01,20-Sep,-70.52,-6.75,0.59,0.86,0.67,0.76,0.29,0.25,0.7,0.13,891166,8014,51492,1021
Singapore,Mobile One,525/03,20-Sep,-114.69,-12.64,0.27,0.77,0.67,0.85,0.14,0.69,0.21,0.21,840989,4671,28380,3324
Singapore,Starhub,525/05,20-Sep,-62.3,-7.51,0.74,0.31,0.19,0.82,0.79,0.19,0.61,0.51,920255,9455,89858,8607
Singapore,SingTel,525/01,20-Sep,-137.28,-8.34,0.85,0.68,0.81,0.39,0.82,0.56,0.41,0.29,897327,3822,65738,9617
Slovak Republic,Orange (ex Globtel),231/01,20-Sep,-148.77,-13.8,0.14,0.71,0.36,0.95,0.9,0.46,0.15,0.18,545720,9913,79252,9642
Slovenia,SI Mobil,293/40,20-Sep,-83.31,-14.87,0.47,0.38,0.01,0.29,1,0.73,0.76,0.54,466437,6518,12857,8385
South Africa,Vodacom(SOUTH AFRICA),655/01,20-Sep,-138.87,-11.42,0.74,0.71,0.83,0.42,0.03,0.34,0.81,0.13,771179,7312,60813,7142
South Africa,MTN(SOUTH AFRICA),655/10,20-Sep,-102.22,-10.79,0.66,0.49,0.76,0.92,0.2,0.17,0.55,0.66,859520,2293,10819,1311
South Korea,KT (KTF),450/08,20-Sep,-130.43,-6.42,0.45,0.31,0.71,0.14,0.46,0.89,0.54,0.01,154209,2141,83466,4858
South Korea,SK Telecom,450/05,20-Sep,-63.68,-11.18,0.13,0.14,0.99,0.88,0.57,0.87,0.67,0.74,432115,9011,72658,8175
Spain,Orange/Amena,214/03,20-Sep,-114.64,-6.79,0.73,0.77,0.32,0.07,0.4,0.56,0.55,0.74,784091,7267,33624,9102
Spain,Vodafone (AirTel),214/01,20-Sep,-82.08,-6.41,0.25,0.31,0.98,0.68,0.56,0.42,0.73,0.43,794741,9523,46932,3022
Spain,Xfera Yoigo,214/04,20-Sep,-108.99,-8.32,0.98,0.6,0.93,0.21,0.94,0.73,0.59,0.66,635845,2848,24052,9215
Spain,Telefonica Moviles(SPAIN),214/07,20-Sep,-114.14,-12.16,0.14,0.89,0.78,0.73,0.02,0.33,0.72,0.98,689384,3601,31995,6364
Sweden,Tele2 - Comviq,240/07,20-Sep,-99.98,-10.1,0.9,0.4,0.24,0.91,0.82,0.21,0.17,0.12,216778,8596,57421,9233
Sweden,"Telenor (Vodafone,Europolitn)",240/08,20-Sep,-137.54,-8.84,0.45,0.01,0.21,0.82,0.97,0.29,0.03,0.13,350042,6948,25061,5055
Sweden,TeliaSonera Mobile,240/01,20-Sep,-122.1,-8.56,0.83,0.61,0.6,0.37,0.73,0.32,0.7,0.99,169206,1096,88613,1414
Switzerland,Swisscom,228/01,20-Sep,-148.71,-10.91,0.28,0.48,0.6,0.29,0.85,0.63,0.71,1,532456,8906,14927,7264
Switzerland,Sunrise DiAx,228/02,20-Sep,-96.99,-8.38,0.15,0.99,0.64,0.68,0.24,0.95,0.31,0.8,202636,8512,60650,3214
Switzerland,Orange(SWITZERLAND),228/03,20-Sep,-120.38,-11.07,0.35,0.06,0.56,0.88,0.58,0.46,0.16,0.75,364270,2993,49012,7419
Thailand,True Move  HSPA,520/00,20-Sep,-159.05,-12.83,0.51,0.4,0.07,0.46,0.03,0.38,0.03,0.26,697358,1257,47291,9155
Thailand, AIS,520/03,20-Sep,-99.99,-8.02,0.78,0.34,0.27,0.06,0.7,0.52,0.62,0.5,280690,2262,45605,3325
Turkey,Vodafone (TelSim),286/02,20-Sep,-155.15,-13.4,0.85,0.78,0.15,0.8,0.94,0.67,0.95,0.95,824170,4029,36014,9084
Turkey,Turkcel,286/01,20-Sep,-96.97,-6,0.74,0.59,0.35,0.85,0.66,0.45,1,0.51,733141,9396,45484,7122
United Arab Emirates,Etisalat(UAE),424/02,20-Sep,-69.6,-11.89,0.69,0.53,0.51,0.72,0.02,0.59,0.34,0.3,933634,4472,58862,2002
United Arab Emirates,Du,424/03,20-Sep,-92.14,-7.1,0.95,0.97,0.94,0.41,0.62,0.9,0.6,0.27,193485,5319,73373,3657
United Kingdom,Vodafone(UK),234/15,20-Sep,-111.62,-7.96,0.59,0.51,0.77,0.49,0.59,0.41,0.17,0.41,260795,3192,40451,5463
United Kingdom,Everything Everywhere,234/30,20-Sep,-100.44,-9.06,0.78,0.85,0.04,0.82,0.62,0.57,0.03,0.16,352340,3319,59408,4092
United Kingdom,Telefonica O2 (CellNet),234/10,20-Sep,-112.12,-13.48,0.01,0.46,0.99,0.76,0.62,0.31,0.79,0.25,466294,4225,63781,7587
United Kingdom,Everything Everywhere (ex-Orange),234/33,20-Sep,-96.29,-11.42,0.54,0.83,0.14,0.41,0.12,0.48,0.93,0.69,248749,7893,61065,2016
Unted States,AT&T,310/410,20-Sep,-107.25,-14.64,0.87,0.61,0.99,0.04,0.25,0.29,0.84,0.64,632552,3487,32329,5490
Unted States,Guamcell Cellular and Paging,310/370,20-Sep,-67.26,-8.21,0.03,0.44,0.94,0.28,0.08,0.39,0.07,0.53,876112,6195,65357,9040
Unted States,T-Mobile,310/260,20-Sep,-153.62,-6.05,0.8,0.75,0.78,0.74,0.64,0.24,0.3,0.04,732821,3891,61485,7087
Unted States,Verizon Wireless,311/48,20-Sep,-75.52,-13.62,0.64,0.49,0.07,0.72,0.29,0.6,0.42,0.76,318051,2838,47748,2084
Albania,Vodafone(ALBANIA),276/02,21-Sep,-108.29,-13,0.72,0.25,0.34,0.98,0.72,0.7,0.86,0.19,171559,8098,70551,2559
Australia,Vodafone Hutchison,505/03,21-Sep,-101.3,-10.48,0.37,0.85,0.44,0.29,0.65,0.69,0.6,0.74,986846,7483,28873,5224
Australia,Optus,505/02,21-Sep,-157.62,-14.15,0.37,0.53,0.26,0.6,0.8,0.49,0.35,0.52,218955,6308,80892,2264
Australia,Telstra,505/01,21-Sep,-143.28,-13.88,0.77,0.24,0.51,0.82,0.58,0.34,0.3,0.31,265038,1316,49535,6304
Austria,A1 Austria Telekom (Mobilkom),232/01,21-Sep,-108.89,-6.84,0.31,0.62,0.15,0.31,0.65,0.83,0.07,0.09,568972,2303,32217,8646
Austria,H3G(AUSTRIA),232/10,21-Sep,-73.07,-9.83,0.27,0.47,0.44,0.65,0.47,0.3,0.08,0.81,103330,5820,48306,8881
Bahrain,Viva,426/04,21-Sep,-63.18,-8.29,0.73,0.56,0.4,0.85,0.86,0.52,0.86,0.61,507065,8453,16584,1658
Bahrain,Batelco,426/01,21-Sep,-78.09,-7.76,0.69,0.92,0.78,0.12,0.96,0.73,0.41,0.11,664557,9897,49707,7940
Bahrain,Zain/Vodafone/MTC,426/02,21-Sep,-123.71,-9.61,0.08,0.57,0.78,0.3,0.65,0.99,0.49,0.37,488912,6739,44170,1772
Belgium,"Base (KPN,Orange)",206/20,21-Sep,-142.72,-11.46,0.21,0.1,0.45,0.55,0.4,0.51,0.56,0.55,188289,6894,40954,3213
Belgium,Mobistar S.A.,206/10,21-Sep,-135.09,-7.34,0.93,0.25,0.89,0.57,0.06,0.89,0.1,0.99,122827,6315,99008,2618
Belgium,Belgacom Mobile,206/01,21-Sep,-148.44,-13.61,0.46,0.45,0.39,0.91,0.73,0.09,0.32,0.78,759640,7604,25835,7562
Brazil,Vivo S.A,724/10,21-Sep,-74.35,-10.92,0.21,0.73,0.69,0.8,0.99,0.52,0.19,0.61,644245,8842,82415,9336
Brazil,TIM,724/04,21-Sep,-146.5,-6.29,0.86,0.04,0.61,0.08,0.11,0.6,0.41,0.75,526970,7991,57647,5617
Bulgaria,Mobiltel,284/01,21-Sep,-96.1,-14.24,0.41,0.7,0.48,0.28,0.33,0.32,0.12,0.81,476506,6109,16847,6089
Canada,Bell Mobility,302/610,21-Sep,-158.26,-14.42,0.36,0.58,0.8,0.2,0.77,0.21,0.82,0.94,830137,6120,54374,3893
Canada,Telus Mobility,302/220,21-Sep,-104.99,-13.07,0.54,0.15,0.9,0.25,0.69,0.33,0.97,0.81,696929,3014,43247,8884
China,China Mobile,460/07,21-Sep,-84.69,-12.52,0.32,0.23,0.48,0.81,0.48,0.31,0.89,0.29,165774,9240,23628,2669
China,China Unicom,460/01,21-Sep,-83.1,-14.24,0.88,0.94,0.82,0.02,0.96,0.56,0.03,0.03,770329,8964,42908,9532
China,China Mobile,460/02,21-Sep,-79.29,-12.59,0.75,0.16,0.61,0.9,0.48,0.46,0.4,0.05,118391,3823,55647,4810
China,China Mobile,460/00,21-Sep,-99.8,-6,0.56,0.91,0.42,0.93,0.03,0.12,0.95,0.66,621187,1325,95208,9726
Croatia,Croatian Telecom (ex T- Mobile),219/01,21-Sep,-81.11,-12.3,0.72,0.31,0.26,0.97,0.81,0.75,0.73,0.81,628206,2305,62336,3363
Croatia,VIP-net,219/10,21-Sep,-153.16,-14.08,0.6,0.46,0.06,0.43,0.44,0.19,0.73,0.9,640000,1344,66556,2757
Czech Republic,Telefonica O2 (Eurotel),230/02,21-Sep,-98.59,-6.54,0.65,0.91,0.72,0.71,0.32,0.41,0.13,0.62,639686,9508,55443,6670
Denmark,Telenor (Sonofon),238/02,21-Sep,-150.76,-12.47,0.11,0.56,0.75,0.08,0.57,0.16,0.87,0.12,668066,2877,10250,5224
Dominica Rep.,"Orange Dominicana, S.A.",370/01,21-Sep,-85.33,-13.36,0.68,0.81,0.64,0.53,0.55,0.11,0.65,0.46,444986,4750,57520,1168
Egypt,Vodafone(EGYPT),602/02,21-Sep,-127.78,-7.97,0.4,0.68,0.43,0.39,0.55,0.53,0.53,0.64,151741,5489,86773,8995
Egypt,Etisalat Misr,602/03,21-Sep,-60.93,-14.68,0.29,0.84,0.85,0.8,0.04,0.36,0.36,0.76,371389,8817,22253,3052
Estonia,Tele2(ESTONIA),248/03,21-Sep,-77.21,-6.52,0.74,0.9,0.2,0.21,0.73,0.48,0.53,0.41,483023,1746,26865,5812
France,SFR (Cegetel),208/10,21-Sep,-152.31,-9.91,0.55,0.33,0.53,0.11,0.93,0.25,0.96,0.05,547233,7371,11683,8123
France,Orange (Iteneris),208/01,21-Sep,-66.11,-10.4,0.66,0.56,0.9,0.94,0.5,0.56,0.22,0.22,395828,6842,53407,2843
France,Free Mobile,208/15,21-Sep,-65.62,-9.78,0.31,0.93,0.63,0.09,0.84,0.79,0.35,0.52,994564,9568,43024,4887
France,Bouygues,208/20,21-Sep,-68.88,-12.71,0.78,0.89,0.2,0.64,0.7,0.01,0.39,0.71,580430,9202,57029,4535
Germany,Telekom Deutschland (T-Mobile),262/01,21-Sep,-139.74,-12.82,0.38,0.08,0.32,0.55,0.56,0.2,0.57,0.87,584710,3901,17952,5058
Germany,Vodafone(GERMANY),262/02,21-Sep,-86.63,-9.49,0.4,0.22,0.24,0.99,0.59,0.65,0.42,0.45,346186,6816,36714,8193
Germany,Telefonica O2/viag,262/07,21-Sep,-70.98,-14.18,0.27,0.84,0.04,0.06,0.72,0.49,0.76,0.77,951739,8940,88870,2227
Germany,E-Plus,262/03,21-Sep,-109.58,-13.48,0.49,0.01,0.03,0.23,0.47,0.82,0.24,0.02,504146,4051,82729,4463
Hongkong,China Mobile - Peoples,454/12,21-Sep,-85.45,-10.22,0.33,0.68,0.97,0.4,0.25,0.98,0.29,0.87,766062,8944,19227,4190
Hongkong,H3G(HONG KONG),454/03,21-Sep,-83.58,-13.42,0.74,0.79,0.68,0.82,0.81,0.17,0.64,0.85,708483,2795,42175,9848
Hongkong,PCCW-HKT Telephone Limited,454/19,21-Sep,-128.63,-6.58,0.75,0.93,0.33,0.56,0.36,0.44,0.2,0.97,102767,3940,15098,9158
Hongkong,SmarTone - Vodafone,454/06,21-Sep,-80.23,-13.31,0.48,0.28,0.84,0.57,0.15,0.54,0.28,0.28,413791,3126,11634,2307
Hongkong,CSL (C&W),454/00,21-Sep,-141.65,-10.15,0.12,0.57,0.31,0.95,0.55,0.96,0.74,0.64,759985,5017,29763,7695
Hungary,Vodafone(HUNGARY),216/70,21-Sep,-129.1,-13.63,0.24,0.98,0.34,0.92,0.02,0.95,0.88,0.93,668628,9616,46862,7865
