Region,Time,Subscriber_Prepaid,Subscriber_Postpaid,Subscriber_Combo1,Subscriber_Combo2,Subscriber_Combo3,Subscriber_Combo4,Subscriber_Combo5,Subscriber_Combo6,Subscriber_Combo12,VoLTE Holding Time_VoLTE holding Time,Data_Downlink traffic,Data_Uplink traffic,Coverage_Avg RSRP,Coverage_SINR,Quality_Avg RSRQ,VoLTE_Call setup success rate,VoLTE_Call completion success rate,VoLTE_Call setup time ,VoLTE_Drop call rate,VoLTE_IMS registration latency ,VoLTE_IMS registration success rate,VoLTE_HO interruption time,VoLTE_MOS,VoLTE_Speech path delay,Data_Call setup success rate,Data_Call completion success rate,Data_Call setup time ,Data_Drop call rate,Data_HO interruption time ,Data_Low throughput samples rate,Data_Retransmission rate,Streaming_Startup time,Streaming_MOS,Streaming_Freeze rate ,Streaming_Number of video stall,Streaming_Dropped frame rate,Streaming_Reproduction start failure rate,Streaming_Reproduction start delay,Streaming_Buffering time,Streaming_number of re-buffering,Streaming_Synchronization index,Streaming_Throughput,Streaming_Inter packet delay,Streaming_Jitter,Streaming_Packet loss rate,Streaming_Round trip time,Gaming_Startup time,Gaming_MOS,Gaming_Dropped frame rate,Gaming_Reproduction start failure rate,Gaming_Reproduction start delay,Gaming_Throughput,Gaming_Inter packet delay,Gaming_Jitter,Gaming_Packet loss rate,Gaming_Round trip time,Chatting_DNS lookup attempt,Chatting_Avg ping time,Chatting_App login time
TGL,7:00,1666,31796,21475,1595,1831,1226,1964,2080,1625,224.63,1511.58,388.61,-82.3,21.38,-8.24,100,99.88,256.14,0.5,58.17,98.37,98.4,5,32.62,97.35,97.9,260.44,0.56,40.51,1.19,0.14,341.08,5,0.96,2,0.64,0.42,661.7,391.27,1,0.77,4.45,86.13,57.93,0.61,59.64,934.44,5,1,0.94,796.49,9.55,35.37,96.91,0.75,85.45,1,38.92,63.18
TMP,7:00,2271,32605,20850,2651,1717,1993,1510,2497,1386,110.22,1854.32,401.62,-85.13,20.26,-9.25,100,98.45,226.58,0.11,72.58,100,72.31,5,58.44,99.78,98.77,205.79,0.66,71.44,1.73,0.19,728.4,4,0.69,3,0.58,0.63,946.66,922.53,2,0.46,6.96,96.4,37.64,0.32,43.68,855.91,5,0.43,0.85,692.62,1.98,40.41,55.95,0.34,34.09,1,85.22,89
TMS,7:00,4026,33793,20733,2418,2676,2090,1524,2639,1712,14.64,1677.61,415.11,-82.7,18.27,-10.22,98.97,97.09,251.89,0.67,86.02,98.25,31.59,5,83.65,97.79,98.99,289.37,0.57,80.69,1.9,0.45,818.55,5,0.98,2,0.93,0.08,859.54,708.46,2,0.67,4.59,51.09,52.56,0.66,86.7,364.8,4,0.56,0.73,642.16,7.71,91.11,53.26,1,31.46,2,50.58,46.66
TPY,7:00,412,32966,19926,2629,1670,1970,2450,2366,1954,73.50,2018.34,422.65,-77.94,24,-11.51,97.15,97.4,269.56,0.23,87.27,97.88,90.61,5,67.52,99.6,99.17,254.13,0.64,80.35,1.12,0.19,363.04,5,0.91,1,0.78,0.09,936.5,305.86,2,0.23,4,33.35,41.79,0.22,42.17,747.17,5,0.96,0.08,990.33,9.18,50.1,65.54,0.7,79.08,2,94.15,52.65
TUS,7:00,4081,31594,19355,1989,1768,1362,2062,1822,3235,30.00,1365.95,416.99,-74.13,21.34,-9.37,98.7,97.2,155.86,0.27,37.29,99.56,50.17,4,33.88,97.29,98.93,180.99,0.14,37.62,1.66,0.12,877.83,5,0.55,2,0.95,0.46,604.53,672.88,3,0.82,1.37,64.88,62.67,0.39,98.11,633.85,4,0.62,0.54,985.67,4.35,47.41,37.2,0.86,60.43,1,75.29,61.64
WLD,7:00,1893,30787,19742,2600,885,2448,1303,1555,2253,79.68,1987.91,394.36,-83.48,19.78,-10.89,99.52,97.78,215.59,0.96,75.99,98.54,89.19,5,62.75,97.72,98.71,152.62,0.4,37.65,1.63,0.24,341.67,4,0.72,2,0.65,0.71,337.78,326.73,2,0.67,8.79,92.07,82.93,0.59,72.81,374.14,5,0.92,0.31,818.74,8.79,54.6,48.19,0.86,81.76,1,45.72,64.46
YCK,7:00,4101,33104,19577,1696,2692,2166,2445,2388,2139,90.64,2015.32,412.33,-72.64,18.43,-12,97.22,97.75,150.32,0.87,55.83,97.63,51.45,4,70.52,97.52,99.14,156.06,0.8,39.72,1.76,0.46,782.35,4,0.43,1,0.8,0.76,798.84,317.61,3,0.77,7.09,43.04,91.59,0.47,88.39,352.01,4,0.21,0.36,431.51,5.56,53.38,33.63,0.49,57.33,2,42.93,82.51
YSH,7:00,4166,30565,19119,2252,1503,2410,1103,2337,1841,163.04,1662.19,385.93,-80.2,17.25,-11.25,98.41,99.98,262.67,0.67,33.79,97.53,50.95,5,50.25,97.41,99.55,229.53,0.4,90.18,1.43,0.35,568.43,5,0.35,2,0.4,0.53,635.78,461.75,3,0.84,7.46,51.78,70.5,0.9,37.45,937.07,4,0.21,0.84,496.35,9.52,65.66,86.01,0.44,77.22,2,44.26,43.03
ALX,8:00,4243,31455,20433,2232,1180,2356,2084,1488,1683,273.39,2638.82,413.73,-74.48,22.47,-10.63,97.66,99.4,215.22,0.27,56.63,97.5,40.23,4,43.11,97.9,98.52,298.58,0.46,56.05,1.95,0.29,325.19,5,0.73,3,0.32,0.27,651.86,634.85,3,0.62,2.77,57.55,58.57,0.12,49.47,363.43,4,0.78,0.13,687.48,9.53,67.43,55.1,0.77,84.38,2,79.88,54.59
AMK,8:00,3730,29386,18071,1891,2669,2400,1648,1073,1634,233.60,1781.29,407.09,-82.67,20.73,-11.66,97.48,98.28,234.12,0.75,70.56,97.42,70.65,4,86.77,97.74,98.34,209.3,0.94,87.84,1.46,0.12,693.8,5,0.66,3,0.6,0.77,349.17,671.4,3,0.34,5.59,71.81,88.3,0.85,63.16,344.7,4,0.32,0.08,471.02,3.33,49.78,49.77,0.54,73.63,1,80.7,77.82
ART,8:00,4467,33988,21493,1958,938,2411,2339,2523,2325,89.47,1484.14,368.80,-83.5,17.93,-8.18,98.39,97.86,219.85,0.78,97.88,97.43,46.86,4,41.29,98.35,97.78,293.87,0.98,66.24,1.81,0.4,954.03,5,0.74,2,0.36,0.21,721.4,811.3,3,0.6,9.18,48.22,75.07,0.73,31.51,349.13,4,0.49,0.15,350.07,3.54,42.9,79.32,0.12,66.79,3,54.11,89.04
AYE,8:00,2024,32996,20115,1422,2823,2894,2066,1957,1719,173.85,1741.93,408.88,-71.03,19.47,-10.66,98.89,98.52,257.68,0.43,43.79,97.97,68.85,4,47.29,99.61,99.81,202.17,0.72,53.08,1.24,0.27,859.13,5,0.41,2,0.36,0.95,344.73,956.37,3,0.49,8.75,88.87,78.81,0.58,51.78,414.12,4,0.08,0.65,555.82,9.47,52.92,95.44,0.77,59.25,2,86.48,46.68
BDK,8:00,3257,31817,20663,1683,2051,1641,2092,1829,1859,145.75,2049.06,394.97,-74.99,20.27,-8.19,98.31,99.84,246.97,0.21,81.15,97.63,92.47,4,61.11,98.14,97.53,153.72,0.07,49.23,1.69,0.12,421.04,5,0.76,3,0.62,0.68,741.75,741.77,1,0.63,2.04,91.14,39.69,0.79,63.42,543.61,5,0.56,0.73,972.74,2.87,82.19,83.95,0.98,58.95,2,81.54,57.45
BKK,8:00,3829,32085,20178,2122,2112,1793,2037,1365,2477,41.56,2008.12,374.28,-80.2,18.57,-10.87,97.87,97.32,204.98,0.65,39.21,97.55,89.85,5,37.09,97.96,98.41,266.87,0.88,61.98,1.72,0.42,969.68,5,0.58,3,0.61,0.35,546.58,755.55,1,0.24,5.89,83.45,56.35,0.08,34.82,794.98,5,0.8,0.32,920.13,6.05,93.31,56.98,0.39,69.46,2,93.77,55.74
BKT,8:00,2299,32213,20264,2238,1029,3183,1527,2687,1285,164.41,1957.30,404.90,-81.5,19.46,-10.52,99.19,99.48,277.4,0.09,95.99,99.87,62.17,5,83.34,98.23,99.83,240.05,0.36,56.2,1.83,0.1,754.52,4,0.36,1,0.7,0.89,583.8,390.66,1,0.83,6.61,86.46,45.34,0.11,42.43,942.95,5,0.12,0.28,886.67,4.8,92.74,87.37,0.7,80.77,3,75.1,41.18
BLT,8:00,2985,31998,19076,2369,2501,1488,2250,2101,2212,228.32,2604.29,393.55,-80.61,21.15,-11.59,99.66,99.7,223.18,0.88,84.26,98.04,56.43,4,65.9,98.3,99.14,288.94,0.08,79.62,1.78,0.29,399.95,4,0.68,3,0.78,0.37,446.92,997.46,2,0.08,3.66,50.02,99.56,0.34,93.86,797.05,4,0.69,0.24,588.58,6.73,72.42,82.36,0.27,94.64,2,95,43.63
BLY,8:00,3202,33601,20996,2191,2519,1140,2969,2101,1685,18.66,1477.51,399.48,-82.95,19.57,-9.81,98.68,97.51,153.62,0.69,79.04,97.4,45.18,4,53.02,97.35,97.3,216.16,0.2,54.56,1.27,0.48,749.86,4,0.17,1,0.49,0.44,683.17,601.93,2,0.81,1.49,57.51,74.92,0.81,59.61,525.24,5,0.39,0.11,314.95,1.04,68.28,49.62,0.63,51.53,1,69.13,97.93
BSN,8:00,2456,30462,20451,1147,1342,2416,1809,1284,2012,84.82,2342.87,411.59,-81.44,16.79,-11.75,99.89,99.04,187.27,0.54,49.02,99.47,51.14,5,62.4,99.32,97.43,171.41,0.45,31.64,1.04,0.41,826.87,5,0.77,2,0.11,0.12,358.9,915.47,1,0.66,7.6,92.37,30.03,0.98,32.02,664.33,5,0.49,0.66,448.43,8.26,52.51,37.73,0.57,50.73,2,61.34,36.4
BTB,8:00,1868,31060,19843,2969,1632,716,1789,2623,1488,89.56,1865.26,413.36,-72.39,18.3,-9.94,99.65,97.62,182.64,0.34,89.04,97.52,31.03,4,83.62,99.92,98.7,252.06,0.07,82.08,1.83,0.27,703.7,4,0.96,3,0.29,0.24,812.05,628.69,3,0.99,9.8,52.47,73.27,0.2,42.64,688.07,5,0.07,0.12,577.33,5.45,69.63,37.33,0.93,67.63,3,43.81,45.08
BTP,8:00,2191,33131,20706,2399,1823,3093,1431,1320,2358,177.16,2124.68,371.81,-89,18.94,-11.81,98.48,99.7,247.2,0.16,35.21,97.65,93.7,4,86.74,98.43,98.16,153.54,0.3,73.44,1.91,0.49,371.51,5,0.22,2,0.08,0.16,677.21,726.88,2,0.35,3.3,92.47,65.02,0.71,80.53,841.02,4,0.7,0.91,427.44,9.37,90.1,50.5,0.63,69.33,1,82.16,36.25
CCK,8:00,3298,31139,19311,1605,2566,2029,2325,1885,1418,55.76,1913.66,352.13,-79,19.65,-11.27,97.48,99.29,154.87,0.71,42.59,98.31,94.29,5,87.76,98.4,99.8,202.03,0.37,62.53,1.97,0.46,772.07,4,0.45,3,0.55,0.91,804.78,312.71,2,0.6,4.29,68.32,39.47,0.33,84.81,647.85,5,0.21,0.94,769.21,2.03,55.28,92.05,0.41,64.57,3,50.66,30.75
CLM,8:00,3415,33528,20871,2128,2026,1913,2704,1861,2024,-39.74,2636.44,432.39,-77.49,20.23,-8.85,98.81,98.44,213.22,0.43,61.85,97.58,34.42,5,70.84,98.77,97.32,208.83,0.39,85.83,1.24,0.39,449.05,4,0.6,3,0.47,0.19,576.53,364.75,2,0.33,5.15,39.14,60.75,0.23,99.01,307.34,5,0.98,0.5,733.76,5.09,86.23,43.14,0.5,72.09,2,86.74,99.65
CNG,8:00,1785,31253,19860,1380,2029,1791,2367,1714,2112,115.72,1691.92,390.64,-70.95,17.29,-9.91,97.25,99.65,262.99,0.38,42.06,98.38,48.67,4,98.45,97.29,99.98,161.81,0.43,31.64,1.19,0.36,400.98,4,0.81,2,0.68,0.76,790.67,761.8,2,0.55,7.98,55.34,92.07,0.55,91.61,720.09,5,0.1,0.24,427.48,8.52,50.06,52.26,0.43,72.38,1,70.63,72
CTH,8:00,2131,29730,19510,1898,1825,1105,2039,1310,2043,-1.01,2738.40,329.92,-82.69,21.46,-8.19,97.25,99.99,267.63,0.17,89.07,98.77,70.79,4,81.89,97.03,98,269.38,0.93,32.04,1.76,0.32,340.17,5,0.85,1,0.76,0.68,713.64,736.89,3,0.98,9.98,45.54,80.03,0.36,81.02,963.88,5,0.84,0.78,992.99,2.21,89.3,39.03,0.07,72.24,2,50.86,98.65
ECS,8:00,4926,31646,20435,2335,1715,1320,1947,1934,1959,70.98,2114.94,423.06,-77.55,18.89,-8.46,97.24,98.26,172.25,0.27,92.44,99.67,81.79,4,53.05,98.08,97.26,172.89,0.86,49.08,1.01,0.43,955.01,4,0.85,3,0.67,0.37,778.72,649.13,3,0.19,1.73,71.66,91.81,0.24,75.56,895.88,4,0.4,0.19,839.91,3.43,32.27,78.39,0.35,90.98,1,36.14,99.99
GUL,8:00,3005,32858,21546,2692,1091,1890,943,2095,2600,182.46,1930.56,417.50,-86.51,19.12,-9.28,99.03,99.8,280.07,0.33,71.4,99.31,53.56,5,49.17,98.6,97.49,258.26,0.73,73.25,1.35,0.38,933.35,4,0.31,1,0.5,0.43,826.07,666.57,2,0.67,9.07,60.73,89.27,0.96,49.66,548.04,4,0.26,0.38,475.14,6.3,90.37,70.52,0.09,72.33,3,54.73,76.47
HGG,8:00,3825,28554,18925,1842,1836,1309,1424,1711,1507,75.65,1800.99,396.34,-89.11,23.04,-11.51,98.51,99.98,269.42,0.9,96.69,99.79,50.14,5,43.65,97.17,97.44,273.46,0.51,60.4,1.63,0.21,569.88,4,0.48,2,0.75,0.14,773.82,441.61,1,1,9.21,91.1,93.01,0.98,32.28,941.11,4,0.12,0.25,347.96,9.36,55.33,63.93,0.29,63.87,3,84.95,63.62
HLV,8:00,3031,34314,19942,2264,2453,2141,2702,2603,2209,107.71,2078.16,351.60,-70.9,23.57,-11.23,98.5,98.72,225.9,0.31,65.87,99.78,89.72,4,97.33,99.28,98.74,236.98,0.13,33.06,1.54,0.28,468.04,5,0.07,3,0.45,0.89,663.14,553.33,2,0.16,8.67,81.26,47.57,0.11,68.25,951.22,5,0.56,0.42,940.28,5.97,56.92,73.44,0.39,88.14,2,96.5,43.23
JRE,8:00,3353,34421,20290,2207,1830,2550,2456,2553,2536,172.43,2041.27,418.25,-80.17,16.38,-11.2,99.86,99.43,183.04,0.64,72.99,97.32,98.73,4,43.34,97.8,97.67,256.9,0.95,52.44,1.73,0.22,304.83,4,0.75,1,0.37,0.71,641.26,757.43,2,0.95,4.31,82.1,73.53,0.52,81.33,698.44,4,0.74,0.22,363.75,5.89,51.1,31.42,0.34,89.76,1,96.35,50.21
JRI,8:00,3140,31263,18359,2890,2050,1466,1850,1582,3067,55.04,2818.85,400.33,-87.12,20.4,-10.81,98.86,99.07,234.22,0.29,90.47,98.71,82.87,4,38.19,99.42,97.24,236.26,0.62,53.58,1.17,0.37,932.2,4,0.73,1,0.76,0.77,635.81,556.18,2,0.93,8.3,41.69,75.84,0.68,78.47,733.68,4,0.41,0.57,643.35,1.61,74.51,42.64,0.12,75.84,3,69.96,35.89
JRW,8:00,3355,36005,21165,2582,2037,2319,2836,2591,2475,158.03,2317.61,388.39,-89.85,17.1,-11.83,97.23,99.57,198.55,0.41,34.8,99.93,79.59,5,88.43,98.1,97.83,280.34,0.23,72.21,1.52,0.11,890.82,5,0.7,3,0.87,0.56,376.05,512.52,2,0.62,8.83,67.02,62.9,0.08,33.29,594.39,5,0.32,0.9,903.43,1.05,36.23,98.45,0.63,33.97,2,81.41,86.95
KLG,8:00,1884,35197,20393,2933,2760,2358,1666,2875,2212,39.54,1408.03,414.25,-77.65,16.9,-11.08,97.27,98.63,234.09,0.48,46.03,98.16,73.65,5,61.52,98.51,99.77,277.22,0.47,83.24,1.11,0.14,987.35,5,0.76,1,0.84,0.95,638.64,591.29,2,0.78,5.59,34.16,90.93,0.8,61.22,796.73,5,0.1,0.69,842.26,7.1,87.07,86.86,0.76,33.78,1,40.84,41.19
KRD,8:00,1860,30928,17851,2296,2667,2104,2137,2544,1329,159.40,1433.49,401.87,-78.17,20.84,-9.69,98.48,99.23,170.26,0.14,76.86,98.65,41.53,4,90.82,98.29,99.88,297.91,0.58,74.88,1.11,0.21,922.17,4,0.88,2,0.67,0.16,972.14,404.1,1,0.95,8.01,53.04,54.11,0.13,84.07,367.44,5,0.67,0.08,475.52,6.92,33.9,50.72,1,41.31,3,37.5,33.41
KRJ,8:00,2734,30113,19567,1746,1775,2436,1593,1421,1576,30.56,2092.58,398.15,-81.01,21.39,-10.98,97.06,99.35,182.15,0.33,81.64,99.36,89.3,5,63.21,98.69,97.91,211.27,0.21,34.42,1.87,0.29,567.69,5,0.4,1,0.76,0.56,364.23,980.71,2,0.21,2.5,78.27,34.37,0.57,36.88,316.21,5,0.1,0.08,700.94,5.42,31.29,39.3,0.17,48.22,2,86.45,72.63
LCK,8:00,4414,34283,21300,2112,1762,2165,2683,2176,2085,162.77,1502.94,411.22,-88.25,18.63,-8.57,98.28,98.13,267.47,0.11,56.52,99.2,54.85,4,38.39,97.79,98.4,241.4,0.2,54.71,1.95,0.3,898.48,5,0.56,1,0.55,0.87,349.8,647.48,3,0.44,8.46,39.48,71.28,0.43,53.25,589.8,4,0.8,0.93,652.23,2.97,97.88,43.98,0.95,38.6,3,93.6,30.78
LTG,8:00,2652,30465,19581,1421,2114,1679,1559,2192,1918,73.20,2208.21,405.20,-89.74,16.86,-10.12,97.89,98.64,257.09,0.39,93.66,98.63,38.43,5,82.7,97.65,98.84,201.38,0.96,45.25,1.02,0.29,815.8,5,0.08,1,0.61,0.4,458.79,475.88,3,0.56,5.14,50.08,67.9,0.94,55.13,634.14,5,0.84,0.98,752.1,6.47,67.17,82.93,0.45,54.22,2,34.15,96.05
MBY,8:00,3836,32530,20120,1114,2216,2186,2397,1902,2595,37.95,1935.04,393.89,-72.99,22.13,-11.28,99.19,98.88,206.91,0.36,83.22,97.78,70.86,5,87.71,99.67,99.39,192.5,0.53,32.03,1.6,0.42,981.44,4,0.1,3,0.14,0.51,496.17,995.29,2,0.78,5.71,88.33,35.46,0.23,82.48,911.24,4,0.49,0.88,979.44,8.39,30.13,75.08,0.76,82.76,3,45.44,47.51
MND,8:00,2398,33479,18757,1809,1850,3270,3219,2153,2421,176.50,2787.66,391.05,-78.63,16.38,-11.7,99.25,97.5,287.32,0.38,56.43,98.64,99.48,5,73.2,99.87,97.82,220.65,0.18,81.15,1.74,0.15,946.25,5,0.41,2,0.9,0.51,913.88,873.45,3,0.1,7.39,97.37,41.83,0.79,37.15,788.19,4,0.65,0.09,895.75,1.22,53.1,55.67,0.24,38.27,1,74.31,34
MPR,8:00,3564,32475,21137,2525,1777,1531,2015,1051,2439,206.92,683.48,415.25,-72.88,17.99,-11.68,97.84,97.31,253.62,0.31,63.06,98,98.24,5,96.72,99.04,98.26,181,0.44,34.49,1.01,0.36,336.72,4,0.53,3,0.63,0.97,772.42,715.91,2,0.46,8.28,30.74,78.54,0.47,66.03,740.19,4,0.99,0.43,769.15,6.97,57.24,54.14,0.57,69.61,2,57.15,46.44
MSL,8:00,1961,33822,19876,2380,2811,2931,2894,1239,1690,155.46,1322.16,420.25,-76.2,22.09,-10.45,97.43,97.67,169.5,0.39,80.91,99.65,74.93,5,34.52,98.4,99.94,171.28,0.26,53.24,1.94,0.41,863.93,5,0.29,2,0.33,0.8,686.38,421.84,2,0.52,4.91,70.69,61.87,0.79,97.47,876.39,4,0.51,0.33,634.4,3.1,63.21,92.8,0.59,57.57,2,32.87,57.37
ORC,8:00,4923,33621,21350,1693,2355,1548,2550,2128,1999,145.88,2519.00,407.99,-76.88,18.98,-8.68,98.71,98.95,255.25,0.17,50.42,99.23,78.97,5,61.21,99.04,98.74,206.27,0.88,48.16,1.66,0.36,922.67,5,0.51,2,0.22,0.91,843.2,737.93,2,0.73,5.22,46.71,37.6,0.89,73.76,731.47,4,0.85,0.19,744.53,2.05,63.71,80.64,0.09,54.83,2,45.74,52.51
PGL,8:00,3516,32883,21103,1374,904,2082,2603,1960,2858,31.69,1798.83,386.21,-74.95,16.32,-9.12,99.96,98.8,182.1,0.4,47.94,99.56,33.35,5,69.43,97.95,98.72,264.05,1,71.85,1.69,0.11,662.54,4,0.44,3,0.21,0.25,695.11,503.22,2,0.75,1.51,50.88,36.09,0.41,84.59,481.5,4,0.29,0.42,303.04,3.13,70.61,56.16,0.64,80.94,1,30.08,43.84
PLB,8:00,2905,32972,21011,1411,1527,2219,2253,1927,2624,69.04,2010.03,418.23,-88.52,17.07,-10.79,99.22,99.57,192.15,0.77,62.71,98.13,88.08,4,36.92,97.8,99.08,216.46,0.6,53.24,1.88,0.2,628.12,5,0.51,1,0.65,0.63,916.67,685.22,1,0.16,9.19,80.45,68.65,0.99,46.78,923.65,4,0.43,0.28,768.28,8.14,91.93,91.97,0.56,45.97,2,60.21,64.77
PNR,8:00,2228,31474,20375,1043,1640,1403,2531,2053,2429,189.45,954.33,404.88,-89.21,17.92,-11.74,99.4,97.22,251.28,0.89,32.3,98.24,33.65,5,99.57,97.75,97.14,173.32,0.61,53.45,1.52,0.27,523.04,4,0.61,3,0.44,0.31,864.49,895.97,2,0.4,8.73,58.65,55.71,0.76,91.31,999.05,4,0.34,0.4,618.92,9.08,41.42,96.41,0.22,46.13,3,83.94,38.45
PRS,8:00,2495,31756,20251,1895,2494,1221,1486,2337,2072,105.47,1868.99,409.78,-79.32,17.08,-9.55,97.71,99.49,222.64,0.65,44.14,98.14,66.72,4,77.59,99.08,99.59,228.17,0.29,56.81,1.94,0.44,754.31,5,0.11,1,0.18,0.44,730.95,365.4,3,0.49,3.4,37.12,90.77,0.1,32.51,618.45,4,0.87,1,879.64,5.42,87,91.77,0.55,97.83,1,96.23,69.07
PTK,8:00,4160,33070,18732,1637,2670,2340,2800,2564,2327,140.13,2200.66,405.28,-75.55,17.27,-11.36,99.95,98.77,230.41,0.83,95.19,99.22,59.85,5,76.54,97.01,98.37,199.33,0.41,46.2,1.67,0.29,549.16,4,0.69,1,0.79,0.13,952.97,390.74,3,0.12,7.45,95.71,75.24,0.89,70.33,640.7,5,0.11,0.17,621.8,1.11,52.04,90.95,0.35,77.82,3,70.63,89.68
PUB,8:00,2026,31261,20708,1926,1840,1318,1671,1728,2071,156.26,1455.11,376.61,-77.98,22.98,-9.92,97.37,98.66,264.24,0.66,60.43,98.31,56,4,80.21,98.54,99.47,237.06,0.52,30.35,1.24,0.21,776.57,4,0.52,2,0.1,0.56,652.64,718.88,2,0.64,5.61,91.58,64.64,0.2,42.46,350.86,4,0.6,0.8,660.46,5.52,38.42,47.1,0.29,95.64,3,62.58,75.83
SDM,8:00,331,31749,19693,1852,2641,2114,2134,2232,1083,153.57,1148.58,385.15,-76.49,23.41,-9.81,99.55,99.48,233.07,0.75,82.01,98.85,65.46,4,58.1,97.35,99.35,220.88,0.98,91.17,1.79,0.34,900.32,5,0.1,1,0.52,0.43,881.12,821.86,3,0.72,1.04,70.44,79.39,0.44,34.51,678.04,5,0.43,0.6,546.47,4.04,56.55,77.17,0.29,70.33,2,30.51,94.16
SHW,8:00,2239,31338,21371,1414,1886,1460,2069,1522,1617,99.50,1205.42,434.92,-85.18,21.96,-11.12,97.61,99.6,238.91,0.23,55.59,99.3,91.42,5,88.64,99.25,97.54,278.63,0.33,52.67,1.01,0.12,419.84,5,0.45,3,0.1,0.55,407.82,992.2,2,0.08,6.2,50.49,92.35,0.66,36.37,654.62,5,0.14,0.28,795.16,3.14,31.42,81.78,0.99,95.24,1,61.86,49.53
SKG,8:00,3354,29319,18957,1319,1960,2167,576,1714,2626,143.60,1814.37,377.95,-72.21,23.22,-11.07,97.21,97.94,205.04,0.6,44.14,99.73,38.06,5,92.3,97.65,99.81,182.46,0.99,67.53,1.9,0.31,489.96,5,0.66,3,0.58,0.9,947.22,910.5,2,0.48,9.12,64.33,56.03,0.89,89.38,958.36,4,0.83,0.51,726.73,6.81,37.32,81.76,0.66,40.6,3,84.66,56.64
SMB,8:00,1438,32209,20243,2292,2787,1931,1935,1342,1679,151.38,1542.91,422.66,-80.89,19.78,-8.66,99.4,97.86,192.94,0.44,85.14,99.07,71.14,5,86.61,98.63,98.18,249.2,0.29,88.3,1.78,0.46,825.96,5,0.8,1,0.87,0.55,468.28,422.23,3,0.59,8.97,97.99,62.33,0.97,53.45,580.47,5,0.75,0.38,722.3,6.75,75.11,56.75,0.19,88.45,1,39.99,31.66
SMI,8:00,4224,32074,20992,2029,1986,2248,1589,1399,1831,53.59,2921.08,376.01,-85.96,23.23,-10.17,100,97.46,218.68,0.7,68.34,99.62,30.43,5,61.15,97.9,99.69,208.85,0.96,50.6,1.74,0.4,348,4,0.74,2,0.28,0.44,999.65,301.71,1,0.6,5.8,30.78,70.44,0.97,44.11,944.16,4,0.35,0.56,354,9.2,46.74,85.2,0.39,51.18,1,32.39,67.72
SRG,8:00,3477,30928,19583,2410,1970,2205,2062,1443,1256,86.35,2294.26,409.16,-85.64,17.19,-8.04,100,98.11,243.84,0.46,43.53,99.83,39.78,4,93.45,97.23,97.93,207.13,0.71,31.84,1.26,0.3,750.78,5,0.18,3,0.48,0.13,369.11,361.38,2,0.23,2.98,94.58,58.89,0.18,68.68,530.07,4,0.52,0.7,955.75,3.38,60.03,79.96,0.25,78.34,1,74.95,75.38
STS,8:00,1875,31973,20649,2365,2009,1236,2118,1769,1826,86.89,1443.14,410.29,-89.44,19.54,-11.67,100,98.97,262.91,0.43,94.42,97.1,89.73,4,87.27,97.42,97.35,181.94,0.56,71.18,1.85,0.36,536.92,5,0.6,2,0.6,0.95,742.7,843.87,1,0.26,5.68,77.44,43.2,0.64,72.96,943.69,4,0.73,0.4,492.2,3.38,47.83,90.12,0.09,50.11,1,80.83,66.99
TBL,8:00,3850,33410,20713,1945,1494,2965,2319,1604,2368,60.80,1912.14,400.68,-74.51,17.89,-9.94,100,99.83,266.86,0.68,95.59,97.85,46.56,5,98.73,97.6,99.75,267.15,0.76,83.47,1.6,0.21,301.77,4,0.33,3,0.79,0.86,931.5,671.36,1,0.45,9.52,33.56,85.27,0.47,64.79,958.21,5,0.93,0.27,790.67,9.6,96.41,88.72,0.79,51.16,3,74.67,32.02
TGL,8:00,3095,32620,20075,1720,1161,1621,2153,3511,2378,68.50,2597.66,409.32,-77.26,21.59,-10.57,100,98.62,248.37,0.31,38.7,98.44,77.25,5,71.69,97.91,97.44,250.22,0.37,84.29,1.46,0.45,305.22,5,0.65,1,0.68,0.22,955.77,803.17,2,0.19,9.64,66.5,70.41,0.96,62.03,406.64,5,0.1,0.91,677.19,3.91,31.16,88.13,0.32,46.91,2,49.63,36.42
TMP,8:00,2431,28205,18518,1250,1307,2051,2046,1462,1571,69.19,1461.36,392.89,-77.17,17.95,-8.69,100,97.11,197.76,0.33,37.03,98.43,42.93,5,60.21,98.49,97.97,208.12,0.44,98.52,1.05,0.11,575.02,5,0.84,1,0.72,0.23,943.78,464.15,1,0.16,5.16,64.93,86.49,0.67,83.41,635.18,4,0.39,0.57,997.39,1.09,31.81,30.42,0.52,74.31,1,62.44,37.03
TMS,8:00,2557,32133,18250,1982,2624,2446,1904,2246,2681,36.33,1774.40,387.24,-77.15,21.4,-10.7,100,98.63,294.82,0.46,34.45,98.89,66.51,5,88.94,100,97.83,213.17,0.63,77.75,1.71,0.42,679.42,5,0.82,2,0.29,0.44,527.77,915.48,2,0.46,3.47,96.76,71.91,0.2,68.45,592.15,4,0.28,0.59,519.58,2.53,64.06,62.43,0.16,79.82,1,99.9,51.15
TPY,8:00,3039,33057,20585,2297,2152,1509,2153,1725,2636,103.51,1936.80,375.07,-81.36,16.46,-11.79,100,98.99,241.03,0.64,39,99.26,48.7,5,62.3,98.74,99.22,238.21,0.28,59.73,1.1,0.37,597.81,5,0.34,1,0.6,0.18,353.58,499.58,2,0.61,3.6,46.93,57.97,0.78,35.87,460.15,5,0.66,0.26,991.16,2.56,92.74,99.25,0.83,92.6,3,52.68,99.01
